bmrk_eng_nm,bmrk_nm,curr_cd,exchdg_yn,fd_estb_ctry_cd,fd_ivst_rgn_desc,fd_mm18_ern_r,fd_mm1_ern_r,fd_mm3_ern_r,fd_mm6_ern_r,fd_nast_suma,fd_set_pcd,fd_wk1_ern_r,fd_yr1_ern_r,fd_yr2_ern_r,fd_yr3_ern_r,fd_yr5_ern_r,frc_bpr_itm_yn,fss_itm_no,hdge_fd_yn,int_dvd_desc,itm_abrv_nm,itm_eabrv_nm,itm_eng_nm,itm_nm,itm_no,kofia_fd_ccd,ksd_itm_no,mtco_itm_no,ofsfd_yn,or_attr_desc,or_co_xtn_itt_cd,ovrs_fd_desc,pers_corp_desc,pfiv_sale_cntl_tcd,prvo_fd_desc,prvo_pbff_desc,rptt_ksd_itm_no,sale_yn,std_itm_no,thco_sale_yn,trusc_xtn_itt_cd,zrin_fd_ivst_risk_gcd,zrin_fd_ivst_risk_grd_nm,risk_grade,risk_available,as_of_date,source_table
MSCI ACWI,MSCI ACWI,KRW,Y,000,글로벌,,,,,14790135500.0000,10,,,,,,0,0010205C4214,0,배당,미래에셋MSCIAC월드인덱스자(주-파)(H)C3,,미래에셋MSCIAC월드인덱스증권자투자신탁(주식-파생형)(H)종류C3,미래에셋MSCIAC월드인덱스증권자투자신탁(주식-파생형)(H)종류C3,KR5153470243,12223412015025901212,KRZ502142605,0537430,0,06,00080008,해외,해당없음,00,해당없음,공모,031910537430,판매중,K55301BO7580,Y,00020027,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
MSCI ACWI Health Care,MSCI ACWI Health Care,KRW,N,000,글로벌,10.07,4.21,2.00,-0.07,57892100172.0000,10,-0.03,19.84,9.71,23.66,15.02,0,0011972C5561,0,배당,KCGI글로벌헬스케어(주식)CPe2,,KCGI글로벌헬스케어증권투자신탁[주식]종류C-PE2,KCGI글로벌헬스케어증권투자신탁[주식]종류C-Pe2,KR5147450060,12121A12060021101183,KRZ50202663J,0002131,0,주식형,00040087,해외,해당없음,00,해당없음,공모,034680002131,판매중,K55365BT3652,Y,00020004,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
KOSPI200 50% + KIS Bond Index 01Y 50%,KOSPI200 50% + KIS채권종합01Y 50%,KRW,,000,국내,,,,,,10,,,,,,0,000000000000,0,배당,멀티코리아하이브주Ae,,소규모해지,멀티에셋코리아베스트하이브리드증권자투자신탁[주식]Ae,KR5110450132,00000000000000000000,KRZ501778512,0049001,0,주식형,00040011,국내,해당없음,00,해당없음,공모,030410049001,판매완료,KR5205AC5281,Y,00020003,,,,False,2026-07-11,PRFD01N001
CSI 300 LOCAL 90% + CALL 10%,CSI 300 LOCAL 90% + CALL 10%,KRW,Y,000,아시아,,,,,,10,,,,,,0,000000000000,0,배당,동양차이나RQF배당H_A,,동양차이나RQFII중소형고배당증권자투자신탁H호(주식)CLASSA,동양차이나RQFII중소형고배당증권자투자신탁H호(주식)ClassA,KR5118430030,00000000000000000000,KRZ501981761,000CR21,0,주식형,00040007,해외,해당없음,00,해당없음,공모,03101000CR21,판매완료,K55107B21329,Y,00020054,,,,False,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,000,글로벌,33.91,1.79,17.82,20.55,613567325102.0000,10,2.91,33.33,41.39,,,0,0010198C5270,0,배당,KB다이나믹적격TDF2030증투신(주혼재)C-퇴직,,KB 다이나믹 적격TDF 2030 증권 자투자신탁(주식혼합-재간접형) C-퇴직,KB 다이나믹 적격TDF 2030 증권 자투자신탁(주식혼합-재간접형) C-퇴직,KR5127490279,16123A120600211ZZZZC,KRZ50247030D,00031C2,0,재간접,00040035,해외,해당없음,00,해당없음,공모,0302300031C2,판매중,K55223DJ7143,Y,00020027,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
MSCI AC ASIA PACIFIC CR 50% + KAP Bond Index 01Y 50%,MSCI AC ASIA PACIFIC CR 50% + 종합채권01Y 50%,KRW,Y,000,아시아,,,,,15860968956.0000,20,0.83,,,,,0,0010172C003M,0,배당,브이아이아시아AI소부장1[채혼재]CPe,,브이아이 아시아 AI 소부장 목표전환형 증권 투자신탁 1호[채권혼합-재간접형] C-PE,브이아이 아시아 AI 소부장 목표전환형 증권 투자신탁 1호[채권혼합-재간접형] C-Pe,KR5116490005,16131A32060032111ZZ4,KRZ502668088,00AL720,0,재간접,00040018,해외,해당없음,00,해당없음,공모,0304200AL720,판매중,K55104EU4908,Y,00020004,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
JP Morgan EMBI Global Diversified Index(USD) 90% + CALL 10%,JP Morgan EMBI Global Diversified Index(USD) 90% + CALL 10%,KRW,Y,000,글로벌,7.12,0.43,1.08,1.51,68653722963.0000,10,0.12,5.30,11.46,18.90,10.44,0,0010173C7614,0,배당,삼성누버거이머징단기채자H(채권재간접)Ce,,삼성누버거버먼이머징단기채권증권자투자신탁H[채권-재간접형]_Ce,삼성누버거버먼이머징단기채권증권자투자신탁H[채권-재간접형]_Ce,KR5114490164,161236120012331ZZZZD,KRZ502211125,01MC700,0,재간접,00040010,해외,해당없음,00,해당없음,공모,0302001MC700,판매중,K55105C31312,Y,00020054,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,245.59,2.03,50.07,102.23,96270525932.0000,10,8.53,190.84,218.29,247.90,177.63,0,0010173C6635,0,배당,삼성클래식연금증권전환형자투자 1(주식)C,,삼성클래식연금증권전환형자투자신탁 1[주식]C,삼성클래식연금증권전환형자투자신탁 1[주식]C,KR5114450221,12113412036011111113,KRZ501536701,02M9500,0,주식형,00040010,국내,개인,00,해당없음,공모,0302002M9500,판매중,K55105BG6937,Y,00020081,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR(in KRW) 50% + 종합채권01Y 50%,MSCI ACWI CR(in KRW) 50% + 종합채권01Y 50%,KRW,N,410,글로벌,,,,,0.0000,10,,,,,,0,0010173C8067,0,배당,삼성글로벌액티브적격TDF2050UH[주혼재]Cf,,삼성 글로벌액티브 적격TDF 2050증권투자신탁UH[주식혼합-재간접형]_Cf,삼성 글로벌액티브 적격TDF 2050증권투자신탁UH[주식혼합-재간접형]_Cf,KR5114490235,161217120010211ZZZZ2,KRZ502305955,02MCB00,0,재간접,00040010,해외,해당없음,00,해당없음,공모,0302002MCB00,판매중,K55105CK1725,Y,00020004,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,000,글로벌,15.44,0.31,5.63,6.19,245983119305.0000,10,0.94,12.83,20.50,29.87,17.53,0,0010173C6380,0,배당,삼성글로벌액티브적격TDF2025H[채혼재]CP,,삼성 글로벌액티브 적격TDF 2025증권투자신탁H[채권혼합-재간접형]_C-P,삼성 글로벌액티브 적격TDF 2025증권투자신탁H[채권혼합-재간접형]_C-P,KR5114490078,16121A12036022111ZZD,KRZ502048398,02MC500,0,재간접,00040010,해외,개인,00,해당없음,공모,0302002MC500,판매중,K55105BC8986,Y,00020004,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
KOSPI Mid&SmallCap Index,중소형지수,KRW,,000,국내,0.00,0.00,0.00,0.00,18806750605.0000,10,0.00,0.00,0.00,-19.81,-29.03,0,000000000000,0,배당,다올코리아AI테크중소형증권자투자1호[주식] C3,,다올코리아AI테크중소형증권자투자신탁제1호[주식] 종류C3,다올코리아AI테크중소형증권자투자신탁제1호[주식] 종류C3,KR5152450003,00000000000000000000,KRZ501884485,0012253,0,주식형,00080013,국내,해당없음,00,해당없음,공모,032400012253,판매중,KR5306AR2818,Y,00020081,1,매우 높은 위험,1.0,True,2026-07-11,PRFD01N001
KOSPI200 200%,KOSPI200 200%,KRW,,000,국내,,,,,26714093396.0000,10,,,,,,0,0010173C4761,0,배당,삼성KOSPI200레버리지1(주식파생재간접)C2,,삼성KOSPI200 2배레버리지증권투자신탁 제1호[주식-파생재간접형]클래스C2,삼성KOSPI200 2배레버리지증권투자신탁 제1호[주식-파생재간접형]클래스C2,KR5114470042,16211412015017111121,KRZ501752534,02MF100,0,06,00040010,국내,해당없음,00,해당없음,공모,0302002MF100,판매중,KR5105A82638,Y,00020054,1,매우 높은 위험,1.0,True,2026-07-11,PRFD01N001
MSCI ACWI Materials,MSCI ACWI Materials,KRW,N,000,글로벌,74.29,-8.57,-2.36,14.17,15869225433.0000,10,-6.23,74.89,78.08,85.85,103.93,0,0011973C0051,0,배당,iM에셋월드광업주자(주식재간접)(UH)A,,IM ASSET WORLD MINING FUND - UN-HEDGED FEEDERCLASS A,iM에셋월드광업주증권자투자신탁(주식-재간접형)(UH)(A),KR5181450030,16123212069021500000,KRZ500519261,0F0351,0,재간접,00080035,해외,해당없음,00,해당없음,공모,0337500F0350,판매중,KR5366866030,Y,00020054,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI ACWI,MSCI ACWI,KRW,Y,000,글로벌,10.02,0.77,7.48,3.23,55658660301.0000,10,-2.77,10.75,14.74,28.92,24.32,0,0010654C0483,0,배당,키움슈로더글로벌지속가능성장주(주-재)CPe,,키움슈로더 글로벌 지속가능 성장주 증권투자신탁(주식-재간접형) 종류C-CPE(퇴직연금),키움슈로더 글로벌 지속가능 성장주 증권투자신탁(주식-재간접형) 종류C-CPe(퇴직연금),KR5142490145,1612161206002111121B,KRZ50242491D,0007A44,0,재간접,00080052,해외,해당없음,00,해당없음,공모,032580007A44,판매중,K55230D81055,Y,00020027,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KOSPI200 25% + KAP Bond Index 01Y 75%,KOSPI200 25% + 종합채권01Y 75%,KRW,,000,국내,,,,,0.0000,10,,,,,,0,0010173C3790,0,배당,삼성배당플러스30증권자투자1호(채권-혼)Cw,,삼성배당플러스30증권자투자신탁제1호[채권혼합](Cw),삼성배당플러스30증권자투자신탁제1호[채권혼합](Cw),KR5114430035,14111B12301012111ZZ5,KRZ500308093,02M1600,0,채권혼합,00040010,국내,해당없음,00,해당없음,공모,0302002M1600,판매중,KR5105892537,Y,00020088,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 30% + KIS Treasury 01Y 70%,MSCI ACWI CR 30% + KIS국공채01Y 70%,KRW,Y,000,글로벌,,,,,,10,,,,,,0,000000000000,0,배당,템플턴퇴글로벌2035혼,,템플턴퇴직연금글로벌라이프2035증권자투자신탁[채권혼합],템플턴퇴직연금글로벌라이프2035증권자투자신탁[채권혼합],KR5134530041,00000000000000000000,KRZ500477080,0453520,0,채권혼합,00040022,해외,해당없음,00,해당없음,공모,030440453520,판매완료,KR5217828346,Y,00020054,,,,False,2026-07-11,PRFD01N001
S&P 500,S&P 500,KRW,Y,000,남미/북미,17.23,-1.34,9.76,6.85,171295311923.0000,10,0.04,19.74,,,,0,0010186C9268,0,배당,신한미국S&P500인덱스증권자(H)[파생]Ce,,SH US S&P500 Index Security Feeder Investment Trust(H)[Equity-Derivatives](Class_C-e),신한미국S&P500인덱스증권자투자신탁(H)[주식-파생형](종류C-e),KR5117474006,1222361200110711122B,KRZ502550405,0273840,0,06,00040067,해외,해당없음,00,해당없음,공모,030480273840,판매중,K55210DT4374,Y,00020054,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,N,000,국내,,,,,256473439.0000,10,,,,,,0,0010207C0657,0,배당,코레이트스타셀렉션증권투자신탁(주식) A,,코레이트스타셀렉션증권투자신탁[주식] 클래스 A,코레이트스타셀렉션증권투자신탁[주식] 클래스 A,KR5160450010,12111212301011111113,KRZ500442571,0058910,0,주식형,00080006,국내,해당없음,00,해당없음,공모,032550058910,판매완료,KR5310788405,Y,00020004,,,,False,2026-07-11,PRFD01N001
ZEROIN AI Expected Return Index,제로인 대안투자기대수익지수,KRW,,000,국내,,,,,,20,,,,,,0,000000000000,0,배당,골든브릿지특별13,,골든브릿지특별자산13,골든브릿지특별자산13,KR5364791002,00000000000000000000,KR5735017S30,95255,0,특별자산,00080003,국내,해당없음,00,해당없음,공모,KR0000000000,판매완료,KR5309555716,Y,00050004,,,,False,2026-07-11,PRFD01N001
Bloomberg GLOBAL AGGREGATE(KRW HEDGED) 90%,Bloomberg GLOBAL AGGREGATE(KRW HEDGED) 90%,KRW,Y,000,글로벌,5.55,0.30,0.84,0.87,193627727.0000,10,-0.13,4.05,9.63,14.52,8.15,0,0011973C0449,0,배당,iM에셋채권오퍼튜니티(채권재간접)CRPe,,IM ASSET FIXED INCOME GLOBAL OPPORTUNITIES -F (C-RPE),iM에셋글로벌채권오퍼튜니티증권투자신탁(채권-재간접형)(C-Rpe),KR5181490086,16121612001023125ZZE,KRZ50197812F,061225,0,재간접,00080035,해외,해당없음,00,해당없음,공모,033750061210,판매중,K55366BU3096,Y,00020054,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
MSCI AC World IT Index 90% + Call 금리 10%,MSCI AC World IT Index 90% + Call 금리 10%,KRW,N,000,국내,46.57,-4.37,15.27,18.58,50175239954.0000,10,-5.33,54.82,57.64,60.57,65.86,0,000000000000,0,배당,삼성KODEX4차산업로보,,삼성KODEX 글로벌4차산업로보틱스증권상장지수투자신탁[주식-파생형](합성),삼성KODEX 글로벌4차산업로보틱스증권상장지수투자신탁[주식-파생형](합성),KR5114601175,00000000000000000000,KR7276990009,02ETF91,0,06,00040010,국내,해당없음,00,해당없음,공모,0302002ETF91,판매완료,K55105BT6494,,00020004,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KAP Bond Index 02Y 90%,종합채권02Y 90%,KRW,,000,국내,3.48,-0.05,0.01,0.24,1115096498202.0000,10,0.47,0.90,6.73,14.33,17.87,0,0010660C6688,0,배당,한국투자크레딧포커스ESG자1(채권)CR,,한국투자크레딧포커스ESG증권자투자신탁1호(채권) 종류C-R,한국투자크레딧포커스ESG증권자투자신탁1호(채권) 종류C-R,KR5113420066,11113A12060013322ZZ5,KRZ501529956,0002V88,0,채권형,00040024,국내,해당없음,00,해당없음,공모,032280002V88,판매중,K55101BV9563,Y,00020081,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,201.02,-2.57,42.36,86.58,38110533949.0000,10,5.43,176.56,140.00,114.42,111.88,0,0010205C6163,0,배당,미래에셋그린뉴딜인덱스증권자(주식)C-P2,,미래에셋그린뉴딜인덱스증권자투자신탁(주식)종류C-P2,미래에셋그린뉴딜인덱스증권자투자신탁(주식)종류C-P2,KR5153450773,12113A12001017111182,KRZ501566569,0461810,0,주식형,00080008,국내,해당없음,00,해당없음,공모,031910461810,판매중,K55301DD0305,Y,00020027,1,매우 높은 위험,1.0,True,2026-07-11,PRFD01N001
채권종합지수 1~2Y,채권종합지수 1~2년,KRW,,000,국내,,,,,,10,,,,,,0,000000000000,0,배당,이스트물가따라채혼C4,,이스트스프링물가따라잡기증권투자신탁[채권혼합]클래스C4,이스트스프링물가따라잡기증권투자신탁[채권혼합]클래스C4,KR5133430035,00000000000000000000,KRZ500047034,0041001,0,채권혼합,00040038,국내,해당없음,00,해당없음,공모,031890041001,판매완료,KR5229974419,Y,00020004,,,,False,2026-07-11,PRFD01N001
ZEROIN AI Expected Return Index,제로인 대안투자기대수익지수,KRW,Y,000,글로벌,,,,,,10,,,,,,0,000000000000,0,배당,동양멀티CTA1주혼재A,,동양멀티마켓CTA증권투자신탁1호(주식혼합-재간접형)ClassA,동양멀티마켓CTA증권투자신탁1호(주식혼합-재간접형)ClassA,KR5118490010,00000000000000000000,KRZ501708221,000G050,0,재간접,00040007,해외,해당없음,00,해당없음,공모,03101000G050,판매완료,KR5107A43339,Y,00020004,,,,False,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,249.24,8.98,60.76,114.89,707161056134.0000,10,6.85,214.70,205.59,219.66,198.44,0,0010660C2403,0,배당,한국투자삼성그룹적립식투자1(주식)(CW),,한국투자삼성그룹적립식증권투자신탁 1(주식)(C-W),한국투자삼성그룹적립식증권투자신탁 1(주식)(C-W),KR5113601004,12111B12065011511113,KRZ500134762,0043761,0,주식형,00040024,국내,해당없음,00,해당없음,공모,032280043761,판매중,KR5101570608,Y,00020020,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI CHINA,MSCI CHINA,KRW,Y,000,글로벌,,,,,0.0000,10,,,,,,0,000000000000,0,배당,미래에셋차이나업종대표자1호(주식)C2,,Mirae Asset China Sector Leader Equity Feeder Investment Trust No.1Class 05,미래에셋차이나업종대표증권자투자신탁1호(주식)C2,KR510902620M,00000000000000000000,KRZ500396975,532354,0,주식형,00080008,해외,해당없음,00,해당없음,공모,031910532350,판매중,KR5301986042,Y,00020054,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KOSPI200 50% + KAP Bond Index 01Y 50%,KOSPI200 50% + 종합채권01Y 50%,KRW,,000,국내,,-3.00,-4.09,,64240196813.0000,10,2.27,,,,,0,0011998C0019,0,배당,웰컴공모주코스닥벤처기업증투신[주혼파]AE,,웰컴공모주코스닥벤처기업증권투자신탁[주식혼합-파생형] 종류 A-E,웰컴공모주코스닥벤처기업증권투자신탁[주식혼합-파생형] 종류 A-E,KR511L470002,13211612025015131264,KRZ502224113,000104,0,06,00080208,국내,해당없음,00,해당없음,공모,034020001004,판매중,K55244C54550,Y,00050004,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
HO CHI MINH STOCK INDEX(LOCAL),베트남 호치민(LOCAL),KRW,Y,000,글로벌,16.41,-5.93,1.03,4.55,86554239218.0000,10,-2.48,25.47,14.28,35.62,13.61,0,0010660C5658,0,배당,한국투자연금베트남그로스자투자(주식)CR,,HANKOOK PENSION VIETNAM GROWTH FEEDER FUND(EQUITY)C-R,한국투자연금베트남그로스증권자투자신탁(주식)C-R,KR518102087M,12123A120601911ZZZZB,KRZ502048751,05A41,0,주식형,00040024,해외,해당없음,00,해당없음,공모,032280005A39,판매중,K55101BB9575,Y,00020020,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI ACWI,MSCI ACWI,KRW,Y,000,글로벌,9.88,-5.63,-2.02,1.53,96917359197.0000,10,-0.51,-0.23,28.89,42.70,34.35,0,0010211C0902,0,배당,유리글로벌거래소증권자투자제1호(주식) A,,유리글로벌거래소증권자투자신탁제1호[주식]CLASS A,유리글로벌거래소증권자투자신탁제1호[주식]Class A,KR5151450060,1212321200102150118C,KRZ500328831,0057188,0,주식형,00080010,해외,해당없음,00,해당없음,공모,032610057188,판매중,KR5307662290,Y,00020027,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,000,글로벌,28.09,0.91,10.36,11.62,145070680792.0000,10,1.60,24.60,,,,0,0011317C2404,0,배당,NH하나로적격TDF2040[주혼재]CP1,,NH-Amundi 하나로 적격  TDF 2040 증권투자신탁[주식혼합-재간접형] Class C-P1(연금저축),NH-Amundi 하나로 적격  TDF 2040 증권투자신탁[주식혼합-재간접형] Class C-P1(연금저축),KR5144490042,16121A120360221ZZZZC,KRZ502341897,00BPM04,0,재간접,00040040,해외,개인,00,해당없음,공모,0325700BPM04,판매중,K55232CI4026,Y,00020054,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
THREE Month T-Bill[KRW],미국 국채 3개월[원화환산],USD,N,000,글로벌,6.00,0.29,0.87,1.76,19787996.6800,10,0.06,3.84,8.70,,,1,0010198C6465,0,배당,KB 법인용 달러 MMF 1호(USD) C-F,,KB 법인용 달러 MMF 1호(USD) C-F,KB 법인용 달러 MMF 1호(USD) C-F,KR5027410027,1EE217120010282ZZZZ6,KRZ502557353,0005A00,0,MMF,00040035,해외,법인,00,해당없음,공모,030230005A00,판매중,K55223DX6667,Y,00020027,6,매우 낮은 위험,6.0,True,2026-07-11,PRFD01N001
MSCI BRIC,MSCI BRIC,KRW,Y,000,이머징/브릭스,,0.00,0.00,-19.51,34927194202.0000,10,0.00,-10.03,,-35.76,-60.21,0,0010654C0162,0,배당,키움슈로더BIC(브라질 인도 중국)E(주-재)C2,,키움슈로더BIC(브라질 인도 중국)증권자투자신탁E(주식-재간접형) 종류C2,키움슈로더BIC(브라질 인도 중국)증권자투자신탁E(주식-재간접형) 종류C2,KR5142450033,1612341200112110120B,KRZ500201112,0007A31,0,재간접,00080052,해외,해당없음,00,해당없음,공모,032580007A31,판매중,KR5230287157,Y,00020027,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
