cu_base_index,cu_charge_rt,cu_fund_mgmt_co,cu_lev_fector,cu_strtegy,cu_upt_dt,du_bpr,du_clpr,du_er_1d,du_er_1m,du_er_1y,du_er_3m,du_er_6m,du_er_ytd,du_hpr,du_last_aum,du_last_nav,du_lpr,du_nav_rnf_amt,du_nav_yday,du_upt_dt,du_val_1d,du_val_1m,du_val_5d,du_vol_1d,du_vol_avg_1m,du_vol_avg_5d,nru_mkt_diff_rt,nru_mkt_inav,pd_abrv_nm,pd_circ_net_tamt,pd_circ_stk_cnt,pd_curr_cd,pd_curr_nm,pd_dvid_cycl,pd_exg_mkt_cd,pd_exg_mkt_nm,pd_grp_no,pd_itm_no,pd_itm_no_ma,pd_lst_stk_cnt,pd_lste_dt,pd_lstg_dt,pd_mkt_id,pd_mkt_nm,pd_nav_pshr,pd_net_tamt,pd_nm,pd_pen_risk_nm,pd_pen_tr_yn,pd_risk_cd,pd_risk_nm,pd_sale_yn,pd_sect_cd,pd_sect_nm,pd_spac_yn,pd_stk_cnt,pd_tr_yn,ru_mkt_price,ru_mkt_volume,wu_core_yn,wu_inv_ast_type,wu_inv_rgn,wu_upt_dt,risk_grade,risk_available,instrument_type,expense_ratio_available,region_std,region_mapping_status,asset_class_std,asset_class_mapping_status,as_of_date,source_table,fee_krx_pct,base_index_krx,asset_class_krx,fee_conflict,expense_ratio_filled,expense_ratio_source,base_index_filled,base_index_source
,,삼성증권(주),,,,22320.0,22320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,삼성 인버스 2X 천연가스 선물 ETN C,,,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG530001020,Q530102,12000000.0,20250529.0,20220617.0,STK,유가증권,,,삼성증권 삼성 인버스 2X 천연가스 선물 상장지수증권 C 제102호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),0,,,,,0.0,,,N,원자재,국내,20260615.0,1.0,True,ETN,False,KR,mapped,COMMODITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,KB,1.0,액티브,20260615.0,12560.0,13075.0,4.1,0.97,,,,,13080.0,160385733000.0,12481.38,12695.0,-12481.38,12481.38,2026-06-15 00:00:00,382809945.0,1083854460.25,527425963.0,29606.0,84663.5,42304.8,,,RISE 미국AI전력인프라액티브,161396000000.0,12850000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR70176E0006,A0176E0,12850000.0,99991231.0,20260407.0,STK,유가증권,12481.38,160385776205.0,KB RISE 미국AI전력인프라액티브증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,12850000.0,0.0,,,N,주식,미국,20260615.0,2.0,True,ETF,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.45,Solactive US AI Electricity Infrastructure Index PR,주식,False,0.45,external_krx_20260806,Solactive US AI Electricity Infrastructure Index PR,external_krx_20260806
,,삼성,1.0,실물복제,20260615.0,85080.0,89900.0,5.67,27.0,460.3,108.83,213.95,198.67,90640.0,127408950000.0,84939.3,89040.0,-84939.3,84939.3,2026-06-15 00:00:00,4684949499.0,11120378666.1,6920045361.2,52079.0,137608.6,82370.4,,,KODEX IT,0.0,1500000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7266370006,A266370,1500000.0,99991231.0,20170328.0,STK,유가증권,84939.3,127408947515.0,삼성 KODEX IT증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_11,매우높은위험(1등급),1,2.0,,N,1500000.0,0.0,,,N,주식,국내,20260615.0,1.0,True,ETF,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.45,KRX 정보기술,주식,False,0.45,external_krx_20260806,KRX 정보기술,external_krx_20260806
,,엔에이치투자증권(주),2.0,C,20260615.0,12280.0,11975.0,-2.48,-4.16,,-34.09,-43.74,-43.86,11995.0,0.0,11938.73,11815.0,-320.38,12259.11,2026-06-15 00:00:00,43794330.0,79982245.25,48396495.0,3694.0,6044.1,3878.0,,,N2 레버리지 천연가스 선물 ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG550000993,Q550099,1000000.0,99991231.0,20250926.0,STK,유가증권,11938.73,12259110000.0,NH투자증권 N2 레버리지 천연가스 선물 상장지수증권 제99호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1000000.0,0.0,,,N,원자재,국내,20260615.0,1.0,True,ETN,False,KR,mapped,COMMODITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,KB증권(주),-2.0,C,20260615.0,47110.0,42045.0,-10.75,20.49,,20.82,,,42265.0,0.0,42193.11,41310.0,-9538.25,51731.36,2026-06-15 00:00:00,11051160.0,176729793.25,262239539.0,266.0,4162.9,5182.6,,,KB 인버스 2X 은 선물 ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG580000815,Q580081,1000000.0,99991231.0,20260306.0,STK,유가증권,42193.11,51731360000.0,KB증권 KB 인버스 2X 은 선물 상장지수증권 제81호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1000000.0,0.0,,,N,원자재,국내,20260615.0,1.0,True,ETN,False,KR,mapped,COMMODITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,키움,1.0,액티브,20260615.0,52080.0,52095.0,0.03,-0.68,-1.04,-0.17,-0.24,-0.47,52095.0,171886572000.0,52086.84,52075.0,-52086.84,52086.84,2026-06-15 00:00:00,9998860.0,107996284.4,30973711.0,192.0,2060.0,594.8,,,KIWOOM 26-09회사채(AA-이상)액티브,171864000000.0,3300000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7464240001,A464240,3300000.0,99991231.0,20230817.0,STK,유가증권,52086.84,171886586204.0,키움 KIWOOM 26-09회사채(AA-이상)액티브증권상장지수투자신탁[채권],안전자산,Y,PD_RISK_GCD_15,낮은위험(5등급),1,2.0,,N,3300000.0,0.0,,,N,채권,국내,20260615.0,5.0,True,ETF,False,KR,mapped,BOND,mapped,2026-07-11,PREF01N001,0.07,KIS 2609 만기형 크레딧 종합채권 지수(AA-이상)(총수익지수),채권,False,0.07,external_krx_20260806,KIS 2609 만기형 크레딧 종합채권 지수(AA-이상)(총수익지수),external_krx_20260806
,,한화,1.0,실물복제,20260615.0,37930.0,39285.0,3.57,12.32,244.76,62.1,138.45,122.58,39740.0,103634465000.0,37685.26,39120.0,-37685.26,37685.26,2026-06-15 00:00:00,2164938132.0,1071613515.05,1031390470.8,54966.0,28631.0,27543.8,,,PLUS 코리아밸류업,104307500000.0,2750000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7495040008,A495040,2750000.0,99991231.0,20241104.0,STK,유가증권,37685.26,103634467262.0,한화 PLUS 코리아밸류업증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,2750000.0,0.0,,,N,주식,미국,20260615.0,2.0,True,ETF,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.009,코리아 밸류업 지수,주식,False,0.009,external_krx_20260806,코리아 밸류업 지수,external_krx_20260806
,,한화,1.0,액티브,20260615.0,99830.0,99965.0,0.14,0.27,,,,,99970.0,103865892000.0,99871.05,99965.0,-99871.05,99871.05,2026-06-15 00:00:00,2099270.0,628554788.0,307361381.0,21.0,6299.35,3082.4,,,PLUS 중기종합채권(A-이상)액티브,103823200000.0,1040000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR70184L0007,A0184L0,1040000.0,99991231.0,20260512.0,STK,유가증권,99871.05,103865892928.0,한화 PLUS 중기종합채권(A-이상)액티브증권상장지수투자신탁(채권),안전자산,Y,PD_RISK_GCD_15,낮은위험(5등급),1,2.0,,N,1040000.0,0.0,,,N,채권,미국,20260615.0,5.0,True,ETF,False,US,mapped,BOND,mapped,2026-07-11,PREF01N001,0.06,KIS 중기종합채권(A-이상) 지수(총수익),채권,False,0.06,external_krx_20260806,KIS 중기종합채권(A-이상) 지수(총수익),external_krx_20260806
,,엔에이치투자증권(주),,,,0.0,0.0,,,,,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,N2 S&P500 버퍼10% 9월 ETN,,,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG550000662,Q550066,3000000.0,20250424.0,20211006.0,STK,유가증권,,,NH투자증권 N2 S&P500 버퍼10% 9월 상장지수증권 제66호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),0,,,,,0.0,,,N,주식,미국,20260615.0,1.0,True,ETN,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,신한,1.0,실물복제,20260615.0,11920.0,11915.0,-0.04,2.49,21.21,3.74,10.73,12.09,11950.0,,11904.29,11810.0,-11904.29,11904.29,2026-06-15 00:00:00,4494814694.0,4164228243.95,3593777280.6,377778.0,351666.1,301856.2,,,SOL 미국배당미국채혼합50,0.0,38800000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7490490000,A490490,38800000.0,99991231.0,20240924.0,STK,유가증권,11904.29,461886645281.0,신한 SOL 미국배당미국채혼합50증권상장지수투자신탁[채권혼합],안전자산,Y,PD_RISK_GCD_14,보통위험(4등급),1,2.0,,N,38800000.0,0.0,,,Y,혼합자산,미국,20260615.0,4.0,True,ETF,False,US,mapped,MIXED,mapped,2026-07-11,PREF01N001,0.15,KRX 다우존스 미국배당국채 혼합지수,혼합자산,False,0.15,external_krx_20260806,KRX 다우존스 미국배당국채 혼합지수,external_krx_20260806
,,NH-Amundi,1.0,액티브,20260615.0,47490.0,49365.0,3.95,5.1,147.44,64.5,81.96,81.92,49370.0,54626127000.0,47500.98,47560.0,-47500.98,47500.98,2026-06-15 00:00:00,520625500.0,611424556.35,476844926.0,10609.0,12801.4,10088.4,,,HANARO 글로벌생성형AI액티브,54613500000.0,1150000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7461340002,A461340,1150000.0,99991231.0,20230711.0,STK,유가증권,47500.98,54626125830.0,NH-Amundi HANARO 글로벌생성형AI액티브증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,1150000.0,0.0,,,N,주식,글로벌,20260615.0,2.0,True,ETF,False,GLOBAL,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.6,Solactive United States Technology 100 Index(Price Return),주식,False,0.6,external_krx_20260806,Solactive United States Technology 100 Index(Price Return),external_krx_20260806
,0.0,미래에셋,-2.0,실물복제,20260615.0,4390.0,4460.0,1.59,-1.55,-22.03,-3.25,-8.32,-10.35,4485.0,38652768000.0,4392.36,4435.0,-4392.36,4392.36,2026-06-15 00:00:00,300547790.0,196252426.9,181379035.6,67383.0,44383.65,41104.4,,,TIGER 미국달러선물인버스2X,38632000000.0,8800000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7261120000,A261120,8800000.0,99991231.0,20161227.0,STK,유가증권,4392.36,38652735377.0,미래에셋 TIGER 미국달러선물인버스2X특별자산상장지수투자신탁(달러-파생형),N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,2.0,,N,8800000.0,0.0,,,N,통화,아시아,20260615.0,1.0,True,ETF,True,ASIA_OTHER,mapped,CURRENCY,mapped,2026-07-11,PREF01N001,0.05,미국달러선물지수,통화,True,0.0,provided,미국달러선물지수,external_krx_20260806
,,KB증권(주),-2.0,C,20260615.0,5090.0,4880.0,-4.13,-6.69,-58.91,-22.97,-37.72,-29.78,4950.0,0.0,4914.54,4880.0,-398.36,5312.9,2026-06-15 00:00:00,7046940.0,20388641.25,11941786.0,1443.0,3895.35,2299.4,,,KB 인버스 2X 구리 선물 ETN(H),0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG580000336,Q580033,500000.0,99991231.0,20211109.0,STK,유가증권,4914.54,2656450000.0,KB증권 KB 인버스 2X 구리 선물 상장지수증권(H) 제33호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,500000.0,0.0,,,N,원자재,국내,20260615.0,1.0,True,ETN,False,KR,mapped,COMMODITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,타임폴리오,1.0,액티브,20260615.0,9605.0,10100.0,5.15,,,,,,10130.0,63579586000.0,9560.84,9760.0,-9560.84,9560.84,2026-06-15 00:00:00,1763392663.0,,2919930534.8,176384.0,,299381.8,,,TIME 글로벌휴머노이드로봇산업액티브,63873250000.0,6650000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR70185L0006,A0185L0,6600000.0,99991231.0,20260519.0,STK,유가증권,9560.84,61667411994.0,타임폴리오 TIME 글로벌휴머노이드로봇산업액티브증권상장지수투자신탁[주식],위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,6550000.0,0.0,,,N,주식,글로벌,20260615.0,2.0,True,ETF,False,GLOBAL,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.8,Solactive Global AI Humanoid Robotics 지수(원화환산)(PR),주식,False,0.8,external_krx_20260806,Solactive Global AI Humanoid Robotics 지수(원화환산)(PR),external_krx_20260806
,,신한투자증권 주식회사,2.0,C,20260615.0,61990.0,63980.0,3.21,7.26,42.19,20.73,10.51,11.59,64025.0,0.0,63945.17,63760.0,2088.16,61857.01,2026-06-15 00:00:00,13980410.0,2955281.25,3063194.0,219.0,47.7,48.2,,,신한 레버리지 다우존스지수 선물 ETN(H),0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG502100206,Q500020,1000000.0,99991231.0,20160706.0,STK,유가증권,63945.17,61857010000.0,신한투자증권 신한 레버리지 다우존스지수 선물 상장지수증권(H) 제20호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1000000.0,0.0,,,N,주식,미국,20260615.0,1.0,True,ETN,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,미래에셋증권 주식회사,1.0,C,20260615.0,13955.0,14140.0,1.33,-6.39,50.19,11.87,4.01,5.01,14375.0,0.0,13911.38,14040.0,9.5,13901.88,2026-06-15 00:00:00,2177600.0,4489283.75,5235353.0,154.0,308.35,374.2,,,미래에셋 미국 자율주행대표기업 ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG520000826,Q520082,3000000.0,99991231.0,20241211.0,STK,유가증권,13911.38,41705640000.0,미래에셋증권 미래에셋 미국 자율주행대표기업 상장지수증권 제97호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,3000000.0,0.0,,,N,주식,미국,20260615.0,1.0,True,ETN,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,삼성,1.0,실물복제,20260615.0,18945.0,19455.0,2.69,4.12,66.64,7.31,28.97,31.99,19510.0,28405635000.0,18937.09,19110.0,-18937.09,18937.09,2026-06-15 00:00:00,656234122.0,676223738.4,602204363.8,33902.0,36107.75,33065.8,,,KODEX 코스닥글로벌,0.0,1500000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7461450009,A461450,1500000.0,99991231.0,20230629.0,STK,유가증권,18937.09,28405637750.0,삼성 KODEX 코스닥글로벌증권상장지수투자신탁[주식],위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,1500000.0,0.0,,,N,주식,글로벌,20260615.0,2.0,True,ETF,False,GLOBAL,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.09,코스닥 글로벌 지수,주식,False,0.09,external_krx_20260806,코스닥 글로벌 지수,external_krx_20260806
,,삼성,1.0,실물복제,20260615.0,12985.0,11970.0,-7.82,-5.75,,,,,11970.0,729759821000.0,12560.41,11730.0,-12560.41,12560.41,2026-06-15 00:00:00,150463531120.0,106001306402.3,71128674395.4,12723280.0,7964529.55,5890757.6,,,KODEX 미국우주항공,0.0,58100000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR70167Z0002,A0167Z0,57050000.0,99991231.0,20260317.0,STK,유가증권,12560.41,703383065064.0,삼성 KODEX 미국우주항공증권상장지수투자신탁[주식],위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,58100000.0,0.0,,,N,주식,미국,20260615.0,2.0,True,ETF,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.55,iSelect 미국우주항공지수(Price Return),주식,False,0.55,external_krx_20260806,iSelect 미국우주항공지수(Price Return),external_krx_20260806
