itm_no,prfd_attr_cd
KR5114492001,D102
KR5148800019,V102
KR5144450021,C103
KR5153540031,M111
KR511022002M,C103
KR5153490717,D102
KR5117450039,C103
KR5127490060,M109
KR5110490057,C103
KR5172450016,M111
KR5147450060,D106
KR5153490128,V102
KR517509014M,C103
KR5116490004,M111
KR5114450361,N135
KR511703010M,D102
KR5181490151,V102
KR5133601017,M109
KR5044410010,E102
KR5117430310,D102
KR5113450012,V101
KR5153450816,W101
KR5144490079,V102
KR5127450077,P104
KR5113490090,C103
KR518101026M,W104
KR553145601M,S104
KR5153450787,N143
KR5114450084,V102
KR5117430028,V101
KR5025101001,V101
KR5114490171,C101
KR5134440031,M111
KR5153450875,G118
KR510902773M,S115
KR5153490088,M109
KR5153470061,C101
KR5153430261,D106
KR5153530042,M109
KR510909098M,V102
KR5114450553,M111
KR510902696M,JPN
KR5114490001,M109
KR5153450106,C103
KR5110420012,C101
KR513602023M,O101
KR5114450058,D102
KR5129470015,S117
KR5156490081,C103
KR5153450338,M111
KR510909176M,M109
KR5127490011,W101
KR5113430100,V103
KR513509044M,M111
KR511131103M,V101
KR513505001M,P121
KR5120490044,D102
KR518102034M,G115
KR516004019M,M111
KR5142450010,C101
KR5152450026,M109
KR5138470000,V101
KR5153450659,M111
KR5144530011,G115
KR5117490457,C103
KR5149490008,D102
KR5127450426,M109
KR5117450036,C103
KR5153450815,F103
KR5127490309,M111
KR5127490291,D106
KR5152450025,V101
KR517302065M,D102
KR5144490023,D102
KR5157450100,C101
KR5153450074,N123
KR5113450247,F101
KR5153420099,IND
KR5153450559,F103
KR510902901M,G118
KR510901005M,W109
KR5113450342,C103
KR5153430077,M111
KR5113420051,M111
KR5153660015,C101
KR5127440022,VNM
KR5127550029,F103
KR5139490008,G110
KR5114450364,C101
KR5172430058,V101
KR510903034M,C104
KR5153480081,D106
KR5153490483,V102
KR5181490052,M112
KR5110450100,C101
KR5174450157,C103
KR5116490001,C102
KR5157450015,M111
KR5027410011,E102
KR5144450097,D106
KR5114450546,C101
KR510904112M,C101
KR517602057M,C103
KR5117472002,V102
KR5127471011,D102
KR5127490193,G110
KR5113490103,D106
KR515009097M,N109
KR5153490653,V103
KR5153450271,N135
KR5111450065,N143
KR511102074M,C103
KR510902491M,D102
KR5118430021,V101
KR5144490053,W101
KR5142420016,G118
KR5153450556,D106
KR5153470209,M111
KR5114470085,M109
KR5114450061,M109
KR5119251002,P121
KR5159490019,D106
KR5114450654,N142
KR510909189M,W109
KR5117490115,S121
KR5143450015,O131
KR518104109M,C101
KR5148450011,M109
KR5149450037,M109
KR5153450551,C101
KR517609077M,D102
KR5114450367,C101
KR5117450024,P103
KR5133450038,D102
KR5153540026,F103
KR5153480016,M109
KR5149490037,M111
KR5110420033,C101
KR513509003M,C103
KR5194450018,F103
KR5114440066,W101
KR5149450091,C101
KR5144492044,D106
KR512509032M,D102
KR510506046M,M109
KR5181450017,M112
KR5153420017,D102
KR518101027M,F103
KR5152450045,G118
KR5553450001,P103
KR5153430051,D105
KR5123420045,C103
KR5153450207,V101
KR510909034M,C101
KR5153480079,W101
KR5114460003,W104
KR5153450500,M104
KR518104007M,V103
KR5145440018,D102
KR5174430030,P102
KR5170651010,C103
KR5117490021,D102
KR5113450330,M109
KR515002055M,C101
KR5118450061,M109
KR510902184M,M111
KR5127490390,D102
KR5137530010,W101
KR5133400020,V102
KR515009011M,D102
KR5153490542,M111
KR5153450843,W101
KR5114490086,F103
KR5148420097,C101
KR5053410041,M111
KR5111601006,D102
KR5174430038,C103
KR5148490001,V102
KR5113456014,M111
KR510902611M,D102
KR5120450082,G118
KR5153450521,F102
KR5133400010,V102
KR5123470012,M105
KR510906209M,M109
KR5153420176,C103
KR5117420011,M109
KR5153400072,G110
KR5153420263,M111
KR5182490035,W104
KR5181450034,G118
KR5156450070,D102
KR5181490031,C103
KR5118430013,F103
KR5125440041,V101
KR5181490233,D106
KR5129490051,D102
KR5157450133,M111
KR5187430005,C101
KR5110420123,D106
KR5144470105,M111
KR5179450010,N102
KR5134490029,C101
KR511104007M,G115
KR5113490207,T250
KR5138490055,C103
KR5123651025,C101
KR5152450035,CHN
KR5113450240,G118
KR5144450006,D106
KR5151430006,D102
KR5127450437,W104
KR512009010M,R107
KR5133420031,G110
KR5148651002,USA
KR5153470209,C101
KR5117490121,T255
KR513501003M,V101
KR5114450530,M109
KR5114420059,M109
KR5157450081,C103
KR510906008M,D102
KR5120490016,M120
KR5153450098,C103
KR5117472002,W104
KR5129450154,C103
KR5127450388,G110
KR5153420276,C101
KR5118450200,C101
KR5153490439,D102
KR5153430116,R106
KR5113490127,C103
KR5153490097,M109
KR5110450042,M111
KR5148450154,W114
KR5153451007,O132
KR5148450086,G115
KR5131450090,C101
KR5119151003,V101
KR5144490053,D102
KR5152430100,C103
KR5159490038,V103
KR5120450049,C101
KR5147430055,M111
KR510902497M,V102
KR5134400002,D102
KR5010201133,D102
KR5156490041,D102
KR510906169M,D102
KR5113450523,C103
KR5138590020,M111
KR5185450043,M111
KR5117490184,D102
KR5148490031,W101
KR5125430024,M109
KR5113450327,D106
KR5114490101,M112
KR5153450200,M111
KR5127420130,V102
KR5131450157,V102
KR5019410001,E102
KR5110451017,M111
KR5114490359,C101
KR5139490030,F104
KR5182490011,M111
KR510906228M,D101
KR517609078M,G110
KR5125450058,D102
KR510902314M,C101
KR5153450829,C101
KR5157530012,V101
KR5113450092,M111
KR5153450668,C101
KR5114420031,W101
KR5174450048,D102
KR5110530011,D102
KR518104088M,C103
KR5153490802,G115
KR5127530012,V101
KR5153450109,C101
KR5061410001,C101
KR5120490064,M111
KR5010151053,C103
KR510902778M,W101
KR5556440008,C103
KR513506066M,C104
KR5153451115,S104
KR513502133M,C103
KR5153420297,M121
KR5113450401,M111
KR5134440020,W104
KR5127470022,M109
KR5161430003,R105
KR5148420090,W102
KR5148651005,W104
KR5114490089,M111
KR5153450889,C101
KR5153421000,M111
KR5111490047,W101
KR5127450373,C101
KR5153450556,W142
KR5153450591,V102
KR5131490018,F103
KR5153430031,M109
KR5187430007,D103
KR5116601101,M111
KR5111601004,C103
KR5114490066,T230
KR5113450170,M109
KR5127450380,M109
KR5153450222,W101
KR5153450168,M111
KR5147450083,W122
KR5144450119,C101
KR510904146M,V101
KR5137470018,M109
KR5114450557,M109
KR5118430058,N144
KR5174450008,P101
KR5137470031,C102
KR5157530016,M109
KR5113490066,G110
KR5118420068,M105
KR5185450014,M109
KR5113450070,N101
KR5153450764,C101
KR5125430043,C102
KR5151430050,W101
KR5137470122,M109
KR5159490069,N177
KR5153450257,D102
KR5153450927,V101
KR5114450437,F101
KR5010201214,D102
KR5110651011,N168
KR512009016M,M109
KR5153480068,D102
KR510902649M,N116
KR5120530025,G115
KR5122450018,D102
KR5113470000,C103
KR5153420075,V101
KR5174450020,C103
KR5113490239,G115
KR5149420008,C103
KR5143450016,D102
KR5125430036,G110
KR5129800005,M111
KR5113490209,C103
KR5153490902,C103
KR5127420080,V101
KR5181450020,M111
KR515009101M,P101
KR510902037M,F101
KR5113450503,M109
KR510506046M,C103
KR5123490146,C103
KR5010251364,C103
KR5125490009,G115
KR518104008M,F103
KR5113450311,N137
KR5153450069,V102
KR518105024M,D102
KR5157450014,C103
KR5172450108,G110
KR5117490054,M111
KR5114470011,C101
KR5119450071,N107
KR5122420018,C101
KR5144490035,N177
KR5124450032,D102
KR5153450247,C103
KR5110470015,W101
KR5149490018,C103
KR5153470114,D102
KR5157480016,W101
KR5153490188,S121
KR513509065M,C103
KR5151450031,V101
KR5136450031,P103
KR5170450012,M105
KR5181490018,V102
KR517609084M,G118
KR511141119M,V101
KR5114490035,M111
KR5153450292,M109
KR5182490105,C103
KR5138651001,W102
KR5134450013,D102
KR5152450029,D102
KR5111490021,M109
KR5114450606,C103
KR510902512M,V102
KR5170490079,V102
KR5151470011,N114
KR5153450374,C101
KR5123420048,C101
KR5114490347,V102
KR510902194M,V103
KR5552601515,C101
KR513506088M,C104
KR510902582M,V102
KR510902315M,V102
KR5185450045,V101
KR5153490902,W104
KR5181490209,V102
KR5129420027,P121
KR52114A0010,C104
KR5114550029,C103
KR5157481001,M111
KR5171495003,G115
KR5116450039,F103
KR5181450024,G118
KR5120451000,M109
KR5127430021,V101
KR5129430006,C102
KR5127490202,N130
KR5153420253,D102
KR5113450182,V101
KR5557450018,C101
KR5174430013,M111
KR5157450108,C101
KR5153450246,M109
KR5138490085,V102
KR5138490108,C101
KR510909177M,G101
KR5148450023,W137
KR518105031M,D102
KR5137450074,C103
KR5110450156,D102
KR5185490091,M106
KR5131530031,G115
KR5010201145,C103
KR5118450070,P101
KR5127470085,C101
KR5153490510,D102
KR513502002M,C103
KR5157450137,P103
KR5170420015,M105
KR518104058M,D102
KR5153450330,G110
KR5127450216,C103
KR5010410010,E102
KR5138490120,W101
KR5139430010,C101
KR5153490425,M111
KR5117430026,D102
KR518104003M,M111
KR5114450667,USA
KR5125490008,T210
KR5127490299,C103
KR5010201902,C103
KR5145450027,C101
KR5153490561,C101
KR5114470033,D102
KR5153420174,D106
KR510904109M,C101
KR5153450053,CHN
KR513502163M,M111
KR513502101M,D102
KR5075410020,V101
KR512902029M,V102
KR5114490285,C103
KR5117472001,G115
KR5019251105,C103
KR5129490086,V102
KR510902858M,N156
KR5127490105,C101
KR5119450141,G102
KR5153470237,C101
KR5127450383,W101
KR5113450018,C101
KR5124430011,R105
KR5147450052,G118
KR515009094M,F102
KR5147450053,C101
KR5182490082,M120
KR513502015M,D102
KR5114490045,C103
KR5114450038,D102
KR5138490127,C101
KR517609028M,M109
KR510904063M,C101
KR5119450100,C104
KR5149450051,V102
KR5159490019,V103
KR5180450025,D106
KR515009056M,C101
KR5120490032,C101
KR5114450650,N142
KR5125601015,M111
KR5180450010,V101
KR5129490123,M109
KR513506088M,V101
KR5144450072,P104
KR5110490067,M109
KR5181490017,D102
KR5151490008,V101
KR5122420015,C103
KR5172490000,S119
KR5138490116,W101
KR5120490063,C101
KR513304004M,M111
KR5127470104,W115
KR511102071M,W101
KR5139490009,F103
KR5127490254,F103
KR5181450036,W101
KR5117490116,M112
KR5170420035,M112
KR5175450034,R105
KR5138490133,G115
KR5157450075,F103
KR5113490104,M111
KR5114490481,W101
KR5153490739,G115
KR5116502002,M109
KR5114450272,C103
KR5114490026,G110
KR5117490025,D102
KR510909013M,D102
KR5129490047,T235
KR5145430040,C101
KR5153400055,D106
KR510902079M,C103
KR5129420031,D102
KR5123420019,V101
KR5127440025,D102
KR515002058M,W107
KR5144490016,N177
KR510902170M,C103
KR5139450048,C101
KR5153450872,W101
KR5178490023,M111
KR5170450029,G110
KR510903109M,C103
KR5181450020,M109
KR5153420271,M109
KR510903101M,D102
KR5113490188,M106
KR5113450194,C103
KR5124440016,D106
KR5119450147,C103
KR510902039M,P101
KR5119450027,M111
KR510902572M,D102
KR511804006M,D102
KR5114450661,F101
KR5147450055,D106
KR5138450005,N121
KR5114490112,C103
KR5137470011,D105
KR5149450096,C103
KR5172420021,V102
KR5153451164,M111
KR5127450271,M111
KR5153430083,C103
KR5131450030,D102
KR5053410010,D102
KR5133601003,P103
KR5123490022,M111
KR5010201231,D102
KR5133601856,C103
KR5153520024,M109
KR5110450101,M111
KR517502042M,C103
KR517309014M,C103
KR5147420011,M111
KR5153490562,D102
KR510909098M,R107
KR5139490009,C101
KR5153490568,V102
KR5148470041,M112
KR510902732M,C103
KR5123470018,S117
KR5153470125,N130
KR5156450051,D102
KR5153450349,C101
KR518104036M,G115
KR5114490170,V102
KR5153490540,C103
KR5153450174,W121
KR5117490102,G110
KR5181490114,N161
KR5110430033,M111
KR5181450027,M111
KR5113490072,M112
KR5138450027,M111
KR5138490030,V102
KR5182490102,D102
KR5144492164,D106
KR5114460004,N154
KR5153490651,M109
KR5129450182,W101
KR510909241M,C103
KR5153451116,V102
KR5157482001,C101
KR5153480021,W101
KR5139430042,V101
KR5138490055,C101
KR5117651001,V102
KR5113490258,D102
KR517302069M,W118
KR5123800002,M112
KR5131601005,V101
KR5153480101,D106
KR5110450092,IDN
KR5127530010,M109
KR5110450031,C101
KR512902012M,N130
KR5127450146,M109
KR510902644M,N138
KR5110450013,D102
KR5142420021,C101
KR5134490066,W101
KR5113459003,W101
KR5153601070,S104
KR515002005M,C101
KR5127490392,M111
KR510909249M,M109
KR5153420284,G110
KR5114490267,V103
KR5129450161,D102
KR5153450227,G118
KR5170450029,F103
KR5127450370,W101
KR5118450060,M109
KR5114450253,C103
KR510902950M,M109
KR5153540026,C103
KR5127450373,N141
KR5114470158,G118
KR5116430074,G115
KR5127450216,V101
KR5153430394,G110
KR5116430020,M111
KR5114450115,G118
KR512009022M,C103
KR5119450058,D106
KR5131490072,V101
KR5153601074,N167
KR5113450502,V102
KR5157530012,G115
KR518105050M,M112
KR5127450197,C101
KR510903030M,D106
KR5114450243,G118
KR5117490021,C101
KR5119450073,P102
KR5157420002,G110
KR5153451119,W104
KR5119450010,S116
KR5143490023,DEU
KR5114450067,V101
KR5120530029,M111
KR512809023M,M111
KR5119420024,C102
KR5114450257,C103
KR510901116M,C103
KR5185490091,D102
KR5137530011,W101
KR5153450491,D102
KR5153450224,C101
KR510401021M,C103
KR5127450185,W122
KR5153490727,M111
KR5114440061,C103
KR5137470116,D106
KR5151451001,VNM
KR5114950012,C103
KR5153490442,W101
KR5152450035,G110
KR5160420006,D106
KR518102088M,C101
KR5152450032,D102
KR5123450122,V103
KR510902542M,BRA
KR5110450216,S104
KR5144420016,M111
KR5153460015,M111
KR5123712002,M109
KR5147450057,G118
KR5529400016,C103
KR5117450084,M109
KR518105032M,M111
KR5153601075,V101
KR510904147M,S108
KR517502024M,V102
KR5144490202,W101
KR511306003M,W101
KR5127450336,C101
KR5145450043,D106
KR5134490068,T235
KR5114800001,D102
KR511012316M,V101
KR513109002M,C101
KR5113490059,V102
KR5138490137,M111
KR515603007M,S102
KR5113456002,V102
KR5129450131,W108
KR5153450293,G118
