item_id,product_type,name,asset_class_std,region_std,risk_grade,risk_available,expense_ratio,expense_ratio_available,expense_ratio_source,aum,aum_available,return_1y,return_1y_available,as_of_date,source_table,source_row_key
KR101501DB80,BOND,국민주택1종채권 21-08,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DB80
KR101501DB98,BOND,국민주택1종채권 21-09,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DB98
KR101501DBA5,BOND,국민주택1종채권 21-10,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DBA5
KR101501DBB3,BOND,국민주택1종채권 21-11,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DBB3
KR101501DBC1,BOND,국민주택1종채권 21-12,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DBC1
KR101501DC14,BOND,국민주택1종채권 22-01,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DC14
KR101501DC22,BOND,국민주택1종채권 22-02,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DC22
KR101501DC30,BOND,국민주택1종채권 22-03,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DC30
KR101501DC48,BOND,국민주택1종채권 22-04,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DC48
KR60085W1F73,BOND,비티비송도제이차1,BOND,KR,1.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR60085W1F73
KR101501DC55,BOND,국민주택1종채권 22-05,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DC55
KR101501DC63,BOND,국민주택1종채권 22-06,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DC63
KR101501DC71,BOND,국민주택1종채권 22-07,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DC71
KR101501DC89,BOND,국민주택1종채권 22-08,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DC89
KR101501DC97,BOND,국민주택1종채권 22-09,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DC97
KR101501DCA3,BOND,국민주택1종채권 22-10,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DCA3
KR101501DCB1,BOND,국민주택1종채권 22-11,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DCB1
KR101501DCC9,BOND,국민주택1종채권 22-12,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DCC9
KR101501DD13,BOND,국민주택1종채권 23-01,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DD13
KR101501DD21,BOND,국민주택1종채권 23-02,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DD21
KR101501DD39,BOND,국민주택1종채권 23-03,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DD39
KR101501DD47,BOND,국민주택1종채권 23-04,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DD47
KR101501DD54,BOND,국민주택1종채권 23-05,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DD54
KR101501DD62,BOND,국민주택1종채권 23-06,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DD62
KR101501DD70,BOND,국민주택1종채권 23-07,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DD70
KR101501DD88,BOND,국민주택1종채권 23-08,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DD88
KR101501DD96,BOND,국민주택1종채권 23-09,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DD96
KR101501DDA1,BOND,국민주택1종채권 23-10,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DDA1
KR101501DDB9,BOND,국민주택1종채권 23-11,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DDB9
KR101501DDC7,BOND,국민주택1종채권 23-12,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DDC7
KR101501DE12,BOND,국민주택1종채권 24-01,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DE12
KR101501DE20,BOND,국민주택1종채권 24-02,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DE20
KR101501DE38,BOND,국민주택1종채권 24-03,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DE38
KR101501DE46,BOND,국민주택1종채권 24-04,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DE46
KR101501DE53,BOND,국민주택1종채권 24-05,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DE53
KR101501DE61,BOND,국민주택1종채권 24-06,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DE61
KR101501DE79,BOND,국민주택1종채권 24-07,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DE79
KR101501DE87,BOND,국민주택1종채권 24-08,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DE87
KR101501DE95,BOND,국민주택1종채권 24-09,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DE95
KR101501DEA9,BOND,국민주택1종채권 24-10,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DEA9
KR101501DEB7,BOND,국민주택1종채권 24-11,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DEB7
KR101501DEC5,BOND,국민주택1종채권 24-12,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DEC5
KR101501DF11,BOND,국민주택1종채권 25-01,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DF11
KR101501DF29,BOND,국민주택1종채권 25-02,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DF29
KR101501DF37,BOND,국민주택1종채권 25-03,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DF37
KR101501DF45,BOND,국민주택1종채권 25-04,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DF45
KR101501DF52,BOND,국민주택1종채권 25-05,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DF52
KR101501DF60,BOND,국민주택1종채권 25-06,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DF60
KR101501DF78,BOND,국민주택1종채권 25-07,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DF78
KR101501DF86,BOND,국민주택1종채권 25-08,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DF86
KR101501DF94,BOND,국민주택1종채권 25-09,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DF94
KR101501DFA6,BOND,국민주택1종채권 25-10,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DFA6
KR101501DFB4,BOND,국민주택1종채권 25-11,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DFB4
KR101501DFC2,BOND,국민주택1종채권 25-12,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DFC2
KR101501DG10,BOND,국민주택1종채권 26-01,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DG10
KR101501DG28,BOND,국민주택1종채권 26-02,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101501DG28
KR101701D518,BOND,국민주택2종 2015-01,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D518
KR101701D526,BOND,국민주택2종 2015-02,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D526
KR101701D534,BOND,국민주택2종 2015-03,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D534
KR101701D542,BOND,국민주택2종 2015-04,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D542
KR101701D559,BOND,국민주택2종 2015-05,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D559
KR101701D567,BOND,국민주택2종 2015-06,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D567
KR101701D575,BOND,국민주택2종 2015-07,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D575
KR101701D583,BOND,국민주택2종 2015-08,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D583
KR101701D591,BOND,국민주택2종 2015-09,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D591
KR101701D5A6,BOND,국민주택2종 2015-10,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D5A6
KR101701D5B4,BOND,국민주택2종 2015-11,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D5B4
KR101701D5C2,BOND,국민주택2종 2015-12,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D5C2
KR101701D617,BOND,국민주택2종 2016-01,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D617
KR101701D625,BOND,국민주택2종 2016-02,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D625
KR101701D633,BOND,국민주택2종 2016-03,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D633
KR101701D641,BOND,국민주택2종 2016-04,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D641
KR101701D658,BOND,국민주택2종 2016-05,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D658
KR101701D666,BOND,국민주택2종 2016-06,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D666
KR101701D674,BOND,국민주택2종 2016-07,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D674
KR101701D682,BOND,국민주택2종 2016-08,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D682
KR101701D690,BOND,국민주택2종 2016-09,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D690
KR101701D6A4,BOND,국민주택2종 2016-10,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D6A4
KR101701D6B2,BOND,국민주택2종 2016-11,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D6B2
KR101701D6C0,BOND,국민주택2종 2016-12,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D6C0
KR101701D716,BOND,국민주택2종 2017-01,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D716
KR101701D724,BOND,국민주택2종 2017-02,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D724
KR101701D732,BOND,국민주택2종 2017-03,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D732
KR101701D740,BOND,국민주택2종 2017-04,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D740
KR101701D757,BOND,국민주택2종 2017-05,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D757
KR101701D765,BOND,국민주택2종 2017-06,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D765
KR101701D773,BOND,국민주택2종 2017-07,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D773
KR101701D781,BOND,국민주택2종 2017-08,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D781
KR101701D799,BOND,국민주택2종 2017-09,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D799
KR101701D7A2,BOND,국민주택2종 2017-10,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D7A2
KR101701D7B0,BOND,국민주택2종 2017-11,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D7B0
KR101701D7C8,BOND,국민주택2종 2017-12,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D7C8
KR101701D815,BOND,국민주택2종 2018-01,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D815
KR101701D823,BOND,국민주택2종 2018-02,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D823
KR310201J570,BOND,산금채 15신이1500-0710-1INT(콜),BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR310201J570
KR101701D831,BOND,국민주택2종 2018-03,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D831
KR101701D849,BOND,국민주택2종 2018-04,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D849
KR101701D856,BOND,국민주택2종 2018-05,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D856
KR101701D864,BOND,국민주택2종 2018-06,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D864
KR101701D872,BOND,국민주택2종 2018-07,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D872
KR101701D880,BOND,국민주택2종 2018-08,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D880
KR101701D898,BOND,국민주택2종 2018-09,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D898
KR101701D8A0,BOND,국민주택2종 2018-10,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D8A0
KR101701D8B8,BOND,국민주택2종 2018-11,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D8B8
KR101701D8C6,BOND,국민주택2종 2018-12,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D8C6
KR101701D914,BOND,국민주택2종 2019-01,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D914
KR101701D922,BOND,국민주택2종 2019-02,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D922
KR101701D930,BOND,국민주택2종 2019-03,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D930
KR101701D948,BOND,국민주택2종 2019-04,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D948
KR101701D955,BOND,국민주택2종 2019-05,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D955
KR101701D963,BOND,국민주택2종 2019-06,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D963
KR101701D971,BOND,국민주택2종 2019-07,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D971
KR101701D989,BOND,국민주택2종 2019-08,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D989
KR101701D997,BOND,국민주택2종 2019-09,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D997
KR101701D9A8,BOND,국민주택2종채권 19-10,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D9A8
KR101701D9B6,BOND,국민주택2종채권 19-11,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D9B6
KR101701D9C4,BOND,국민주택2종채권 19-12,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701D9C4
KR101701DA14,BOND,국민주택2종채권 20-01,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701DA14
KR101701DA22,BOND,국민주택2종채권 20-02,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701DA22
KR101701DA30,BOND,국민주택2종채권 20-03,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701DA30
KR101701DA48,BOND,국민주택2종채권 20-04,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701DA48
KR101701DA55,BOND,국민주택2종채권 20-05,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701DA55
KR101701DA63,BOND,국민주택2종채권 20-06,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701DA63
KR101701DA71,BOND,국민주택2종채권 20-07,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701DA71
KR101701DA89,BOND,국민주택2종채권 20-08,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701DA89
KR101701DA97,BOND,국민주택2종채권 20-09,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701DA97
KR101701DAA3,BOND,국민주택2종채권 20-10,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701DAA3
KR101701DAB1,BOND,국민주택2종채권 20-11,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701DAB1
KR101701DAC9,BOND,국민주택2종채권 20-12,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101701DAC9
KR101702D656,BOND,국민주택2종 2016-05,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR101702D656
KR102701GF14,BOND,외국환평형기금채권 02750-2601(25-1),BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR102701GF14
KR102701GF22,BOND,외국환평형기금채권 02625-2602(25-2),BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR102701GF22
KR102701GF30,BOND,외국환평형기금채권 02625-2603(25-3),BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR102701GF30
KR102701GF48,BOND,외국환평형기금채권 02375-2604(25-4),BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR102701GF48
KR102701GF55,BOND,외국환평형기금채권 02375-2605(25-5),BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR102701GF55
KR102701GF63,BOND,외국환평형기금채권 02375-2606(25-6),BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR102701GF63
KR102701GF71,BOND,외국환평형기금채권 02250-2607(25-7),BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR102701GF71
KR102701GF89,BOND,외국환평형기금채권 02250-2608(25-8),BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR102701GF89
KR102701GF97,BOND,외국환평형기금채권 02250-2609(25-9),BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR102701GF97
KR102701GFA4,BOND,외국환평형기금채권 02375-2610(25-10),BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR102701GFA4
KR102701GFB2,BOND,외국환평형기금채권 02500-2611(25-11),BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR102701GFB2
KR102701GFC0,BOND,외국환평형기금채권 02500-2612(25-12),BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR102701GFC0
KR102701GG13,BOND,외국환평형기금채권 02750-2701(26-1),BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR102701GG13
KR102701GG21,BOND,외국환평형기금채권 02750-2702(26-2),BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR102701GG21
KR103101AF22,BOND,재정증권 2025-0010-0063,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR103101AF22
KR103101AF30,BOND,재정증권 2025-0050-0063,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR103101AF30
KR103101AF48,BOND,재정증권 2025-0090-0063,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR103101AF48
KR103101AF55,BOND,재정증권 2025-0140-0063,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR103101AF55
KR103101AF63,BOND,재정증권 2025-0180-0063,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR103101AF63
KR103101AF71,BOND,재정증권 2025-0220-0028,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR103101AF71
KR103101AF89,BOND,재정증권 2025-0230-0028,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR103101AF89
KR103101AF97,BOND,재정증권 2025-0240-0028,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR103101AF97
KR103101AG21,BOND,재정증권 2026-0010-0063,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR103101AG21
KR103102AF21,BOND,재정증권 2025-0020-0063,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR103102AF21
KR103102AF39,BOND,재정증권 2025-0060-0063,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR103102AF39
KR103102AF47,BOND,재정증권 2025-0100-0063,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR103102AF47
KR103102AF54,BOND,재정증권 2025-0150-0063,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR103102AF54
KR103102AF62,BOND,재정증권 2025-0190-0063,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR103102AF62
KR103102AG20,BOND,재정증권 2026-0020-0063,BOND,KR,6.0,True,,False,,,False,,False,2026-07-11,PRBD01N001,PD_NO=KR103102AG20
