분류,키,한글명,의미,동의어,단위_포맷_규칙,신뢰도,검증상태,출처
별칭사전|국내ETF브랜드,마이티,DB자산운용 마이티(Mighty),"DB자산운용의 ETF 브랜드로 2012년 '마이티 KOSPI100'부터 사용. 과거 '마이티 200커버드콜ATM레버리지'(2018년 상장, 2023년 12월 상폐 공시)가 있었고 현재는 만기매칭 채권형 등 현존 상품으로 예시를 교체해 매핑해야 한다.",Mighty;DB 마이티;DB자산운용 ETF,운용사브랜드,medium,정정반영,https://www.db-asset.com/ | 검증정정: https://funddoctor.co.kr/ast/etf/etf_02.jsp?fund_cd=KR7292340007 ; https://markets.hankyung.com/stock/292340/chart
별칭사전|국내ETF브랜드,FOCUS,브이아이자산운용 FOCUS,"브이아이자산운용(VI자산운용, 구 하이자산운용)의 ETF 브랜드. 'FOCUS ESG리더스', 'FOCUS AI반도체' 등이 있다.",포커스;브이아이 ETF;VI자산운용 ETF,운용사브랜드,high,검증통과,https://www.greened.kr/news/articleView.html?idxno=338048
별칭사전|국내ETF브랜드,UNICORN,현대자산운용 UNICORN,현대자산운용의 ETF 브랜드로 2022년 7월 'UNICORN R&D액티브'로 ETF 시장에 진출했다.,유니콘;현대자산운용 ETF,운용사브랜드,high,검증통과,https://news.mt.co.kr/mtview.php?no=2022070614281291121
별칭사전|국내ETF브랜드,파워,교보악사자산운용 파워,"교보악사자산운용의 ETF 브랜드. 2011년 '파워 K100'으로 ETF 시장 진출, '파워 K200', '파워 200TR' 등 패시브 인덱스 상품 위주이며 레버리지 상품('파워 K200레버리지')은 확인되지 않으므로 예시에서 제외해야 한다.",POWER;파워 ETF;교보악사 ETF,운용사브랜드,medium,정정반영,https://www.kyoboaxa-im.co.kr/prdtInfo/powerETFList.do | 검증정정: https://www.kyoboaxa-im.co.kr/prdtInfo/powerETFList.do ; https://www.newstof.com/news/articleView.html?idxno=24298
별칭사전|국내ETF브랜드,TREX,유리자산운용 TREX,"유리자산운용의 ETF 브랜드('TREX 200', 'TREX 펀더멘탈200'). 2021년 ETF 신규사업에서 철수했으나 기존 상품은 상장 유지 중이라 데이터에 2건 존재한다.",티렉스;유리 ETF;유리자산운용 ETF,운용사브랜드,high,검증통과,https://www.thebell.co.kr/free/Content/ArticleView.asp?key=202108101721056200104037&svccode=03
별칭사전|국내ETF브랜드,BNK,BNK자산운용 BNK,"BNK자산운용(BNK금융그룹, 부산은행 계열)의 ETF 브랜드. 'BNK 주주가치액티브' 등이 있다.",비엔케이;부산은행 계열 ETF,운용사브랜드,high,검증통과,https://www.bnkasset.co.kr/product/etf.aspx
별칭사전|국내ETF브랜드,IBK,IBK자산운용 IBK,IBK자산운용(IBK기업은행 계열)의 ETF 브랜드. 2023년 12월 ETF 시장 진출 후 구 브랜드 'ITF'를 2026년 5월 'IBK'로 변경했다(스냅샷 2026-07-11 기준 IBK 표기).,ITF;아이비케이;기업은행 계열 ETF,운용사브랜드,high,검증통과,https://www.mt.co.kr/stock/2026/05/12/2026051214475793440
별칭사전|국내ETF브랜드,KCGI,KCGI자산운용 KCGI,"KCGI자산운용의 ETF 브랜드. 행동주의펀드 KCGI가 2023년 메리츠자산운용을 인수해 사명을 변경했고, ETF 브랜드도 구 'MASTER'에서 'KCGI'로 바꿔 2024년 5월 'KCGI 미국S&P500TOP10'을 출시했다.",케이씨지아이;MASTER;구 메리츠자산운용,운용사브랜드,high,검증통과,https://news.mtn.co.kr/news-detail/2024052214565411349
별칭사전|국내ETF브랜드,TRUSTON,트러스톤자산운용 TRUSTON,트러스톤자산운용의 ETF 브랜드. 'TRUSTON 주주가치액티브' 등 행동주의·주주가치 액티브 ETF를 운용한다.,트러스톤;트러스톤 ETF,운용사브랜드,high,검증통과,https://www.trustonasset.com/
별칭사전|국내ETF브랜드,VITA,한국투자밸류자산운용 VITA,"한국투자밸류자산운용의 ETF 브랜드('VITA MZ소비액티브', 'VITA 밸류알파액티브'). 이후 ETF 사업에서 철수했으나 스냅샷 데이터에 2건 존재한다. ACE(한국투자신탁운용)와 별개 회사이니 주의.",비타;한투밸류 ETF,운용사브랜드,high,검증통과,https://www.seoulfn.com/news/articleView.html?idxno=480220
별칭사전|국내ETF브랜드,MIDAS,마이다스에셋자산운용 MIDAS,"마이다스에셋자산운용의 액티브 ETF 브랜드. 'MIDAS 중소형액티브', 'MIDAS 코스닥액티브' 등이 있다.",마이다스;마이다스에셋,운용사브랜드,high,검증통과,https://midasasset.com/
별칭사전|국내ETF브랜드,DAISHIN343,대신자산운용 DAISHIN343,"대신자산운용(대신증권 자회사)의 ETF 브랜드. 'DAISHIN343 금융&지주고배당', 'DAISHIN343 오피스리츠플러스' 등이 있다. 데이터의 '대신'(13건)은 대신증권 ETN이므로 구분 필요.",대신343;대신 ETF;다이신343,운용사브랜드,high,검증통과,https://www.newspim.com/news/view/20260609000951
별칭사전|국내ETF브랜드,에셋플러스,에셋플러스자산운용,에셋플러스자산운용의 액티브 ETF 브랜드로 상품명에 한글 사명을 그대로 사용한다('에셋플러스 글로벌플랫폼액티브' 등).,assetplus;에셋플러스 ETF,운용사브랜드,medium,검증통과,에셋플러스자산운용 공식 홈페이지(assetplus.co.kr)
별칭사전|국내ETF브랜드,HK,흥국자산운용 HK,"흥국자산운용의 ETF 브랜드. 'HK 베스트일레븐액티브', 'HK S&P코리아로우볼', 'HK 머니마켓액티브' 등이 있다.",흥국;흥국 ETF;에이치케이,운용사브랜드,high,검증통과,https://www.newspim.com/news/view/20260707000871
별칭사전|ETN브랜드,메리츠,메리츠증권 ETN,국내ETF 데이터의 '메리츠' 접두어(92건)는 메리츠증권이 발행한 ETN이다. KCGI자산운용의 옛 이름(메리츠자산운용)과 혼동하지 말 것.,메리츠증권;메리츠 ETN,ETN브랜드,high,검증통과,https://namu.wiki/w/상장지수증권
별칭사전|ETN브랜드,신한,신한투자증권 ETN,'신한' 접두어(71건)는 신한투자증권(구 신한금융투자)이 발행한 ETN이다. 신한자산운용의 ETF 브랜드 SOL과 발행 주체가 다르다.,신한 ETN;신한금융투자;신한투자증권,ETN브랜드,high,검증통과,https://open.shinhansec.com/etn/introduction/ETN_PW_FO_0120.jsp
별칭사전|ETN브랜드,삼성(ETN),삼성증권 ETN,'삼성' 접두어(70건)는 삼성증권이 발행한 ETN이다. 삼성자산운용의 KODEX(ETF)와 발행 주체가 다르므로 반드시 구분한다.,삼성 ETN;삼성증권,ETN브랜드,high,검증통과,https://namu.wiki/w/상장지수증권
별칭사전|ETN브랜드,한투,한국투자증권 ETN,"'한투' 접두어(70건)는 한국투자증권이 발행한 ETN이다(구 브랜드 'TRUE'에서 변경). 한국투자신탁운용 ACE(ETF), 한국투자밸류 VITA와 구분해야 한다.",한투 ETN;한국투자증권;TRUE;트루 ETN,ETN브랜드,medium,검증통과,https://securities.koreainvestment.com/trueetn/nkis/edu/eduEtn.jsp?cmd=FR11700
별칭사전|ETN브랜드,KB(ETN),KB증권 ETN,'KB' 접두어(66건)는 KB증권이 발행한 ETN이다. KB자산운용 ETF 브랜드 RISE(구 KBSTAR)와 발행 주체가 다르다.,KB ETN;KB증권,ETN브랜드,high,검증통과,https://www.kbsec.com/go.able?linkcd=m07050015
별칭사전|ETN브랜드,미래에셋(ETN),미래에셋증권 ETN,'미래에셋' 접두어(57건)는 주최사인 미래에셋증권이 발행한 ETN이다. 미래에셋자산운용의 ETF 브랜드 TIGER와 발행 주체가 다르므로 구분한다.,미래에셋 ETN;미래에셋증권,ETN브랜드,high,검증통과,https://securities.miraeasset.com/mw/mks/mks4318/n04.do
별칭사전|ETN브랜드,N2,NH투자증권 ETN,"'N2' 접두어(41건)는 NH투자증권이 발행한 ETN으로, 2024년 6월 구 브랜드 'QV'에서 'N2'로 일괄 변경됐다.",엔투;QV;큐브이;NH ETN;NH투자증권,ETN브랜드,high,검증통과,https://www.hankyung.com/article/2024061205966
별칭사전|ETN브랜드,QV,N2(NH투자증권 ETN)의 구 브랜드,NH투자증권이 2024년 6월까지 ETN에 사용한 구 브랜드. 'QV ○○ ETN' 질의는 'N2 ○○ ETN'으로 매핑한다.,큐브이;qv etn,ETN브랜드,high,검증통과,https://www.hankyung.com/article/2024061205966
별칭사전|ETN브랜드,하나,하나증권 ETN,'하나' 접두어(24건)는 하나증권이 발행한 ETN이다. 하나자산운용의 ETF 브랜드 1Q와 구분해야 한다.,하나 ETN;하나증권;하나금융투자,ETN브랜드,high,검증통과,https://www.lcnews.co.kr/news/articleView.html?idxno=124256
별칭사전|ETN브랜드,대신,대신증권 ETN,'대신' 접두어(13건)는 대신증권이 발행한 ETN('대신 ETN' 브랜드)이다. 대신자산운용의 ETF 브랜드 DAISHIN343과 구분해야 한다.,대신 ETN;대신증권,ETN브랜드,high,검증통과,https://etn.daishin.com/e5/etn/contents/introduce/definition.aspx
별칭사전|ETN브랜드,키움,키움증권 ETN,'키움' 접두어(26건)는 키움증권이 발행한 ETN이다('키움 CD금리투자 ETN' 등). 키움투자자산운용의 ETF 브랜드 KIWOOM과 구분해야 한다.,키움 ETN;키움증권,ETN브랜드,high,검증통과,https://www.kiwoom.com/h/domestic/stock/VEtnMainView
별칭사전|해외운용사,iShares,아이셰어즈(블랙록),"BlackRock의 ETF 브랜드. 해외ETF 데이터의 운용사명 'BlackRock Fund Advisors'(497건) 상품 대부분이 iShares 브랜드다(IVV, TLT, AGG 등).",아이셰어즈;아이쉐어즈;블랙록;BlackRock;블랙락,해외운용사,high,검증통과,https://www.ishares.com/us
별칭사전|해외운용사,SPDR,스파이더(스테이트 스트리트 SSGA),"State Street Global Advisors의 ETF 브랜드로 데이터 운용사명은 'SSGA Funds Management Inc'(175건). SPY(스파이), XL* 섹터 시리즈, GLD 등이 해당된다.",스파이더;에스피디알;스테이트스트리트;State Street;SSGA,해외운용사,high,검증통과,https://www.ssga.com/us/en/intermediary/capabilities/etfs
별칭사전|해외운용사,Vanguard,뱅가드(Vanguard Group),"세계 2위 ETF 운용사로 VOO, VTI, VYM 등 초저비용 인덱스 ETF로 유명하다. 데이터에 Vanguard 표기 운용사명으로 111건 존재한다.",뱅가드;벵가드;Vanguard Group,해외운용사,high,검증통과,https://investor.vanguard.com/investment-products/etfs
별칭사전|해외운용사,Invesco,인베스코,데이터 운용사명 'Invesco Capital Management LLC'(260건). 나스닥100 추종 QQQ(큐큐큐)와 QQQM의 운용사로 가장 잘 알려져 있다.,인베스코;큐큐큐 운용사;Invesco QQQ,해외운용사,high,검증통과,https://www.invesco.com/qqq-etf/en/home.html
별칭사전|해외운용사,ProShares,프로셰어즈,"데이터 운용사명 'ProShare Advisors LLC'(167건). TQQQ, SQQQ, UPRO 등 레버리지·인버스 ETF의 대표 운용사다.",프로셰어즈;프로쉐어즈;ProShare Advisors,해외운용사,high,검증통과,https://www.proshares.com
별칭사전|해외운용사,Direxion,디렉시온(래퍼티),"데이터 운용사명 'Rafferty Asset Management LLC'(138건)가 Direxion 브랜드의 실제 어드바이저다. SOXL, SOXS, TMF 등 3배 레버리지 ETF로 유명하다.",디렉시온;디렉션;Rafferty;래퍼티,해외운용사,high,검증통과,https://www.direxion.com
별칭사전|해외운용사,YieldMax,일드맥스(타이달),"옵션 인컴(커버드콜) 초고배당 ETF 브랜드(TSLY, NVDY, MSTY 등)로, 데이터 운용사명은 'Tidal Investments LLC'(298건)다. Tidal은 구 Toroso Investments로 여러 브랜드의 화이트라벨 어드바이저다.",일드맥스;욜드맥스;Tidal;타이달;토로소,해외운용사,high,검증통과,https://www.sec.gov/Archives/edgar/data/1924868/000199937124007940/yieldmax-497k_062824.htm
별칭사전|해외운용사,Defiance,디파이언스,테마·레버리지 ETF 브랜드(QTUM 등)로 상당수 상품이 Tidal Trust에 속해 데이터 운용사명이 'Tidal Investments LLC'로 나타날 수 있다.,디파이언스;Defiance ETFs,해외운용사,medium,검증통과,https://www.sec.gov/Archives/edgar/data/0001924868/000199937126013208/defiance-485bpos_062226.htm
별칭사전|해외운용사,Global X,글로벌엑스(미래에셋 계열),미국 테마형 ETF 운용사로 데이터 운용사명 'Global X Management Co LLC'(121건). 미래에셋자산운용이 2018년 2월 약 4.88억달러에 인수한 미래에셋 계열사다.,글로벌엑스;글로벌X;미래에셋 글로벌X,해외운용사,high,검증통과,https://www.cstimes.com/news/articleView.html?idxno=531026
별칭사전|해외운용사,KraneShares,크레인셰어즈,중국 테마 ETF로 유명한 브랜드(KWEB 등)로 데이터 운용사명은 'Krane Funds'(36건) 계열이다.,크레인셰어즈;크레인쉐어즈;Krane Funds,해외운용사,high,검증통과,https://kraneshares.com
별칭사전|해외운용사,Xtrackers,엑스트래커스(DWS),독일 DWS 그룹의 ETF 브랜드로 미국 상장분 데이터 운용사명은 'DBX Advisors'(45건)다.,엑스트래커스;엑스트랙커스;DBX;DWS;도이치,해외운용사,high,검증통과,https://etf.dws.com/en-us/
별칭사전|해외운용사,ARK,아크 인베스트(ARK Investment Management),"캐시 우드(한국 별명 '돈나무 언니')가 이끄는 액티브 혁신테마 ETF 운용사(ARKK 등). 사용자 질의 '돈나무', '아크'는 ARK 상품으로 매핑한다.",아크;아크인베스트;돈나무;캐시우드;Cathie Wood,해외운용사,high,검증통과,https://ark-funds.com
별칭사전|해외운용사,First Trust,퍼스트 트러스트,데이터 운용사명 'First Trust Advisors LP'(316건). FDN 등 AlphaDEX·테마형 ETF 다수를 운용한다.,퍼스트트러스트;퍼스트 트러스트 어드바이저스,해외운용사,high,검증통과,https://www.ftportfolios.com
별칭사전|해외운용사,Innovator,이노베이터,데이터 운용사명 'Innovator Capital Management LLC'(185건). 버퍼(Buffer)·디파인드 아웃컴 ETF의 대표 운용사다.,이노베이터;버퍼 ETF 운용사,해외운용사,high,검증통과,https://www.innovatoretfs.com
별칭사전|해외운용사,WisdomTree,위즈덤트리,배당·펀더멘털 가중 ETF 전문 운용사로 데이터에 'WisdomTree'(92건) 존재.,위즈덤트리;위즈덤 트리,해외운용사,high,검증통과,https://www.wisdomtree.com/investments
별칭사전|해외운용사,GraniteShares,그래닛셰어즈,NVDL 등 개별주 레버리지 ETF로 유명한 운용사로 데이터에 'GraniteShares'(85건) 존재.,그래닛셰어즈;그라나이트셰어즈,해외운용사,high,검증통과,https://graniteshares.com/institutional/us/en-us/
별칭사전|해외운용사,JPMorgan,제이피모건 자산운용,데이터 운용사명 'JP Morgan Investment Management'(80건). 커버드콜 월배당 ETF JEPI(제피)·JEPQ(젭큐)의 운용사다.,제이피모건;JP모건;JP모간;J.P.Morgan,해외운용사,high,검증통과,https://am.jpmorgan.com/us/en/asset-management/adv/products/fund-explorer/etfs
별칭사전|해외운용사,Fidelity,피델리티,미국 대형 운용사로 데이터에 'Fidelity'(79건) 존재. FTEC 등 저비용 섹터·인덱스 ETF를 운용한다.,피델리티;휘델리티,해외운용사,high,검증통과,https://www.fidelity.com
별칭사전|해외운용사,VanEck,반에크,"데이터 운용사명 'Van Eck'(76건). 반도체 SMH, 금광주 GDX 등 섹터·원자재 ETF로 유명하다.",반에크;밴엑;Van Eck,해외운용사,high,검증통과,https://www.vaneck.com
별칭사전|해외운용사,Pacer,페이서,데이터 운용사명 'Pacer'(70건). 잉여현금흐름 전략 COWZ(카우즈) 시리즈로 유명하다.,페이서;페이서 ETF;카우즈 운용사,해외운용사,high,검증통과,https://www.paceretfs.com
별칭사전|해외운용사,Tuttle Capital,터틀 캐피털,데이터 운용사명 'Tuttle Capital'(68건). T-REX 2배 레버리지 단일주 ETF 시리즈 등 고위험 전략 상품을 운용한다.,터틀;터틀캐피탈;T-REX;티렉스 ETF(미국),해외운용사,medium,검증통과,https://www.rexshares.com/t-rex-etfs/
별칭사전|해외운용사,PGIM,피지아이엠(푸르덴셜 계열),미국 Prudential Financial의 자산운용 부문으로 데이터에 'PGIM'(64건) 존재.,푸르덴셜;프루덴셜;PGIM Investments,해외운용사,high,검증통과,https://www.pgim.com
별칭사전|해외운용사,AllianzIM,알리안츠 인베스트먼트 매니지먼트,독일 알리안츠 그룹 계열로 데이터에 'Allianz'(58건) 존재. 버퍼드 아웃컴 ETF를 주로 운용한다.,알리안츠;알리안쯔;Allianz,해외운용사,high,검증통과,https://www.allianzim.com
별칭사전|해외운용사,Roundhill,라운드힐,"데이터에 'Roundhill'(53건) 존재. 매그니피센트7 ETF(MAGS), 0DTE 커버드콜 XDTE 등 테마·인컴 상품으로 유명하다.",라운드힐;라운드힐 인베스트먼츠,해외운용사,high,검증통과,https://www.roundhillinvestments.com
별칭사전|해외운용사,Avantis,아반티스(아메리칸 센추리),데이터 운용사명 'American Century'(51건)의 팩터 기반 ETF 브랜드가 Avantis(AVUV 등)다.,아반티스;아메리칸센추리;American Century,해외운용사,high,검증통과,https://www.avantisinvestors.com
별칭사전|해외운용사,Goldman Sachs,골드만삭스 자산운용,데이터에 'Goldman Sachs'(51건) 존재. GSAM의 ETF(액티브 인컴 등)를 포함한다.,골드만삭스;골드만;GSAM,해외운용사,high,검증통과,https://am.gs.com
별칭사전|해외운용사,Amplify,앰플리파이,데이터에 'Amplify'(43건) 존재. 국내에도 잘 알려진 커버드콜 인컴 DIVO 등을 운용한다.,앰플리파이;엠플리파이,해외운용사,high,검증통과,https://amplifyetfs.com
별칭사전|해외운용사,Dimensional,디멘셔널 펀드 어드바이저스(DFA),데이터에 'Dimensional'(43건) 존재. 팩터 투자 기반 액티브 ETF의 대형 운용사다.,디멘셔널;디멘셔널펀드;DFA,해외운용사,high,검증통과,https://www.dimensional.com
별칭사전|해외운용사,Calamos,칼라모스,데이터에 'Calamos'(43건) 존재. 구조화(스트럭처드) 보호 ETF와 전환사채 전략으로 유명하다.,칼라모스;캘러모스,해외운용사,high,검증통과,https://www.calamos.com
별칭사전|해외운용사,Simplify,심플리파이,데이터에 'Simplify'(42건) 존재. 옵션 오버레이·대체전략 액티브 ETF 운용사다.,심플리파이,해외운용사,high,검증통과,https://www.simplify.us
별칭사전|해외운용사,Charles Schwab,찰스 슈왑,데이터에 'Charles Schwab'(34건) 존재. 한국 개인투자자에게 '슈드'로 불리는 배당성장 ETF SCHD의 운용사다.,슈왑;찰스슈왑;슈드 운용사;Schwab Asset Management,해외운용사,high,검증통과,https://www.schwabassetmanagement.com
별칭사전|해외운용사,T. Rowe Price,티 로 프라이스,데이터에 'T.Rowe Price'(33건) 존재. 액티브 주식·인컴 ETF를 운용하는 미국 대형 운용사다.,티로프라이스;티로우프라이스,해외운용사,high,검증통과,https://www.troweprice.com
별칭사전|해외운용사,Alpha Architect,알파 아키텍트(엠파워드 펀즈),데이터 운용사명 'Empowered Funds LLC'(115건)는 Alpha Architect가 100% 소유한 화이트라벨 어드바이저(dba ETF Architect)다. 다양한 소형 브랜드 ETF가 이 이름으로 잡힌다.,알파아키텍트;ETF Architect;Empowered Funds,해외운용사,high,검증통과,https://alphaarchitect.com/wp-content/uploads/compliance/etfarchitect/ETF_Architect_Form_ADV_Part_2A_(12.21.2023).pdf
별칭사전|해외운용사,Themes,팀즈 매니지먼트(Themes ETFs),데이터 운용사명 'Themes Management Company LLC'(111건). 2023년 말 출범한 저비용 테마 ETF 브랜드로 Leverage Shares 창업 그룹과 연관된 것으로 알려져 있다.,팀즈;테마스;Themes ETFs,해외운용사,medium,검증통과,https://themesetfs.com
별칭사전|해외운용사,Corgi Strategies,코기 스트래티지스,데이터 운용사명 'Corgi Strategies'(84건). 2025년 7월 설립된 샌프란시스코 소재 신생 어드바이저로 Corgi ETF Trust I을 통해 2배 레버리지 등 파생형 ETF를 운용한다.,코기;코르기;Corgi ETF,해외운용사,high,검증통과,https://www.sec.gov/Archives/edgar/data/2078265/000207826525000011/corgietftrustin1a.htm
별칭사전|해외운용사,AXS Investments,에이엑스에스 인베스트먼츠,데이터에 'AXS Investments'(89건) 존재. 단일주 레버리지·인버스 등 대체전략 ETF 운용사다.,AXS;액시즈,해외운용사,medium,검증통과,https://www.axsinvestments.com
별칭사전|투자은어,곱버스,인버스 2X ETF(지수 하락 2배 추종),'곱하기+인버스'의 준말로 지수 일간수익률의 -2배를 추종하는 상품 통칭이며 대표 종목은 'KODEX 200선물인버스2X'다. 국내ETF 데이터에서 상품명 '인버스2X' 패턴 또는 운용전략(cu_strtegy) 레버리지/인버스 구분값으로 매핑한다.,곱버스 ETF;인버스2배;인버스 2X;선물인버스2X,은어,high,검증통과,https://www.danbinews.com/news/articleView.html?idxno=32858
별칭사전|투자은어,레버리지,레버리지 ETF(지수 2배 추종),기초지수 일간수익률의 2배(해외는 3배도 존재)를 추종하는 상품 통칭으로 구어로 '곱빼기'라고도 한다. 상품명 '레버리지'/'2X' 패턴과 cu_strtegy 값으로 매핑한다.,곱빼기;2배 ETF;2X;3X;울트라,은어,high,검증통과,https://kbthink.com/etf/leveraged-inverse.html
별칭사전|투자은어,인버스,인버스 ETF(지수 역방향 -1배 추종),기초지수 일간수익률의 -1배를 추종하는 상품 통칭. 상품명 '인버스' 패턴으로 매핑하며 -2배는 곱버스로 별도 구분한다.,청개구리;하락 베팅;숏 ETF;리버스,은어,high,검증통과,https://namu.wiki/w/인버스 펀드
