분류,키,한글명,의미,동의어,단위_포맷_규칙,신뢰도,검증상태,출처
코드표|거래소코드(미국),101,미상 숫자형 거래소 코드,"해외ETF pd_exg_mkt_cd에 9건 관측되는 숫자형 코드로, 공개된 표준(ISO 10383)이나 벤더 문서에서 대응을 확인하지 못함. 원천 시스템 내부 코드로 추정되며 확인 전까지 '거래소 미상'으로 처리 권고.",,확인 전 NULL 또는 '미상' 처리 권고,low,,웹 검색으로 확인 불가 — 제공 데이터 스냅샷 관측(2026-07-11)만 존재
코드표|거래소코드(미국),102,미상 숫자형 거래소 코드,"해외ETF pd_exg_mkt_cd에 22건 관측되는 숫자형 코드로, 공개 표준·벤더 문서에서 대응을 확인하지 못함. 101과 같은 원천 시스템 내부 코드 체계로 추정되며 확인 전까지 '거래소 미상'으로 처리 권고.",,확인 전 NULL 또는 '미상' 처리 권고,low,,웹 검색으로 확인 불가 — 제공 데이터 스냅샷 관측(2026-07-11)만 존재
코드표|시장구분(한국),EXG_MKT_NO_001,유가증권시장(KOSPI 시장),"국내ETF pd_exg_mkt_cd의 값으로, 한국거래소(KRX) 유가증권시장을 의미. KRX 증권상품(ETF·ETN·ELW)은 전부 유가증권시장에 상장되므로 국내ETF 1,734건이 모두 이 값을 갖는 것이 정상.",유가증권시장;코스피시장;KOSPI시장;거래소시장;유가증권,정규화 규칙: 'EXG_MKT_NO_' 접두어 제거 후 001=유가증권시장으로 매핑,high,,https://open.krx.co.kr/contents/OPN/01/01030100/OPN01030100.jsp (KRX 증권상품시장 소개: ETF·ETN·ELW 거래) + 제공 데이터 관측
코드표|시장구분(한국),STK,유가증권시장 식별자(pd_mkt_id),국내ETF pd_mkt_id의 값으로 KRX 유가증권시장(Stock Market)을 가리키는 시장 ID. 해외ETF의 pd_mkt_id=US(미국)와 동일 계열의 상장시장 구분 필드.,유가증권시장;국내 주식시장;KRX 주식시장,"STK=한국 유가증권시장, US=미국 시장",high,,제공 데이터 관측 + https://www.iotafinance.com/en/Detail-view-MIC-code-XKRX.html (Korea Exchange Stock Market 명칭 대응)
코드표|시장구분(한국),유가증권시장,유가증권시장,"한국거래소의 메인보드 시장으로 KOSPI 지수의 대상 시장. 주식·채권 외에 ETF·ETN·ELW 등 증권상품이 상장되는 시장이며, 국내 상장 ETF·ETN은 전부 유가증권시장 상장(코스닥·코넥스에는 ETF·ETN 상장 없음).",코스피시장;KOSPI 시장;거래소시장;메인보드;KRX 유가증권시장,"MIC: XKRX(운영 MIC, Korea Exchange Stock Market)",high,,"https://open.krx.co.kr/contents/OPN/01/01030100/OPN01030100.jsp, https://www.iotafinance.com/en/Detail-view-MIC-code-XKRX.html"
코드표|시장구분(한국),코스닥,코스닥시장(KOSDAQ),"한국거래소의 기술·성장기업 중심 시장. 제공 데이터의 ETF·ETN과는 무관하며(상장 불가), 사용자 질의에서 '코스닥 ETF'는 코스닥 지수를 추종하는 유가증권시장 상장 ETF를 의미함에 유의.",KOSDAQ;코스닥시장,"MIC: XKOS(Korea Exchange KOSDAQ, XKRX 산하 세그먼트)",high,,"https://www.iotafinance.com/en/Detail-view-MIC-code-XKOS.html, https://open.krx.co.kr/contents/OPN/01/01030100/OPN01030100.jsp"
코드표|시장구분(한국),코넥스,코넥스시장(KONEX),한국거래소의 초기 중소·벤처기업 전용 시장. ETF·ETN 상장과 무관하나 한국 시장 구분 체계 완결성을 위해 수록.,KONEX;코넥스시장,MIC: XKON(Korea New Exchange),high,,https://www.tradinghours.com/mic/s/xkon (ISO 10383 기반)
코드표|MIC(ISO 10383),XKRX,한국거래소 유가증권시장,ISO 10383 운영 MIC로 Korea Exchange (Stock Market)를 의미. 국내채권·국내ETF·국내상장 종목의 표준 시장 식별자로 사용 가능(구 XKOS에서 2008-07-28 XKRX로 운영 MIC 변경).,KRX;한국거래소;Korea Exchange,"운영(Operating) MIC, 국가 KR",high,,https://www.iotafinance.com/en/Detail-view-MIC-code-XKRX.html (ISO 10383)
코드표|MIC(ISO 10383),XNYS,뉴욕증권거래소,"ISO 10383 운영 MIC로 New York Stock Exchange, Inc.를 의미. NYS 코드의 표준 대응이며 ARCX(NYSE Arca)·XASE(NYSE American) 등 세그먼트 MIC를 산하에 둠.",NYSE;뉴욕증권거래소;뉴욕거래소,"운영(Operating) MIC, 국가 US",high,,"https://www.onixs.biz/fix-dictionary/5.0.sp2/app_6_c.html, https://en.wikipedia.org/wiki/Market_Identifier_Code"
코드표|MIC(ISO 10383),XNAS,나스닥(전체 시장),ISO 10383 운영 MIC로 NASDAQ - All Markets를 의미. NAS 코드의 표준 대응.,NASDAQ;나스닥,"운영(Operating) MIC, 국가 US",high,,https://www.onixs.biz/fix-dictionary/5.0.sp2/app_6_c.html
코드표|MIC(ISO 10383),ARCX,NYSE 아카(NYSE Arca),"ISO 10383 세그먼트 MIC(XNYS 산하)로 NYSE Arca를 의미. 2,200개 이상의 ETF가 상장된 세계 최대 ETF 상장·거래 시장으로, 데이터의 AMX 코드 대부분이 실질적으로 이 시장 상장분에 해당.",NYSE Arca;아카;아르카;뉴욕 아카 거래소,"세그먼트(Segment) MIC, 운영 MIC XNYS, 국가 US",high,,"https://www.iotafinance.com/en/ISO-10383-Market-Identification-Codes-MIC.html (ARCX=NYSE Arca, segment MIC), https://www.nyse.com/markets/nyse-arca"
코드표|MIC(ISO 10383),XASE,NYSE 아메리칸(구 AMEX),"ISO 10383 세그먼트 MIC(XNYS 산하)로 구 American Stock Exchange, 현 NYSE American을 의미. 2008년 NYSE Euronext에 인수되어 NYSE Amex→NYSE MKT→NYSE American으로 개칭됐으며 현재는 중소형주 특화 시장.",NYSE American;AMEX;아멕스;American Stock Exchange,"세그먼트(Segment) MIC, 운영 MIC XNYS, 국가 US",high,,"https://www.onixs.biz/fix-dictionary/5.0.sp2/app_6_c.html (XASE=American Stock Exchange), https://en.wikipedia.org/wiki/NYSE_American"
코드표|MIC(ISO 10383),BATS,Cboe BZX 거래소(구 BATS),ISO 10383 운영 MIC로 Cboe BZX U.S. Equities Exchange(구 BATS Exchange)를 의미. NYSE Arca·나스닥과 함께 미국 ETF 상장 3대 시장 중 하나.,Cboe BZX;BATS;씨보 BZX;배츠,"운영(Operating) MIC, 국가 US",high,,https://www.iotafinance.com/en/ISO-10383-Market-Identification-Codes-MIC.html (BATS=CBOE BZX U.S. Equities Exchange)
코드표|국가코드(ISO 3166),KR,대한민국 (alpha-2),"ISO 3166-1 alpha-2 국가코드로 대한민국. 국내채권 PD_CTRY_CD 42,393건의 값이며, ISIN 접두어로도 사용됨(국내 발행 증권).",한국;대한민국;남한;국내,"ISO 3166-1 alpha-2; 대응 alpha-3 KOR, 숫자 410",high,,https://www.iso.org/obp/ui/#iso:code:3166:KR
코드표|국가코드(ISO 3166),410,대한민국 (numeric),"ISO 3166-1 숫자(numeric-3) 국가코드로 대한민국. 공모펀드 fd_estb_ctry_cd=410(2,715건)은 설정국가가 대한민국으로 명시된 펀드를 의미.",한국;대한민국;국내 설정,ISO 3166-1 numeric; KR/KOR과 동일 국가. ISO 4217 KRW의 숫자코드 410과 동일 계열,high,,https://www.iso.org/obp/ui/#iso:code:3166:KR
코드표|국가코드(ISO 3166),XS,국제증권 ISIN 접두어,"ISO 3166 국가코드가 아니라, 국제예탁결제기구(ICSD)인 Euroclear·Clearstream이 국제증권(유로본드 등)에 부여하는 ISIN 접두어. 국내채권 PD_CTRY_CD의 XS 1건은 국내 국가코드 대신 XS-ISIN을 갖는 국제채로 해석.",국제채;유로본드;국제증권;Euroclear;Clearstream,"ISIN 첫 2자리; 국가 매핑 시 '국제(International)'로 별도 분류, 특정 국가로 정규화 금지",high,,"https://www.isin.net/xs-isin/, https://www.isin.org/isin/"
코드표|국가코드(ISO 3166),US,미국 (alpha-2),ISO 3166-1 alpha-2 국가코드로 미국. 해외ETF pd_mkt_id=US는 상장시장 국가가 미국임을 의미.,미국;아메리카;미 시장;미국시장,"ISO 3166-1 alpha-2; 대응 alpha-3 USA, 숫자 840",high,,https://www.iso.org/obp/ui/#iso:code:3166:US
코드표|센티널,000 (fd_estb_ctry_cd),설정국가 미입력 센티널,"ISO 3166-1 numeric에 000은 존재하지 않으므로 실제 국가가 아닌 미입력 기본값. 공모펀드 95,619건 중 92,838건(97%)이 000인 점을 볼 때 '설정국가 미기재 기본값'이며 상당수가 실제로는 국내 설정 펀드일 가능성이 높음 — '000=해외 설정'으로 오해석하면 안 됨.",미입력;해당없음;기재없음,000 → NULL 정규화 권고. '국내 설정 펀드' 필터는 410만으로 판단하지 말고 별도 필드로 교차검증,medium,,ISO 3166-1 numeric에 000 부재(https://www.iso.org/obp/ui/#iso:code:3166:KR) + 제공 데이터 분포 관측(2026-07-11); '기본값' 해석은 분포 기반 추론
코드표|센티널,센티널 공통 정규화 규칙,센티널 값 NULL 정규화 규칙,"코드 필드에서 000(통화·국가), CURR_CD_000, '해당없음' 등은 결측을 나타내는 센티널로, ISO 4217·ISO 3166 표준에 000 코드는 존재하지 않음. 집계·필터·질의응답 전에 NULL로 정규화하고, 응답 시 '정보 없음'으로 안내해야 함.",결측 처리;NULL 처리;미입력 값,"정규화 파이프라인: (1) 'CURR_CD_'/'EXG_MKT_NO_' 등 필드명 접두어 제거 → (2) 000·'해당없음'·빈문자열 → NULL → (3) 잔여값을 ISO/KRX 코드표에 매핑, 매핑 실패 시 low-confidence 플래그",high,,"https://www.iso.org/iso-4217-currency-codes.html, https://www.iso.org/obp/ui/#iso:code:3166:KR (표준에 000 부재) + 제공 데이터 관측"
