컬럼,dtype,결측수,공백문자열수,실질결측률%,고유값수,숫자형문자열,min,max,상위값3
pd_itm_no,object,0,0,0.0,1734,,,,KR7482870003 (1); KR7305080004 (1); KRG760000148 (1)
pd_itm_no_ma,object,0,0,0.0,1734,,,,A482870 (1); A305080 (1); Q760014 (1)
pd_lst_price,float64,0,0,0.0,1,,0.0,0.0,0.0 (1734)
pd_lst_stk_cnt,float64,0,0,0.0,678,,0.0,11410900000.0,1000000.0 (254); 2000000.0 (99); 500000.0 (70)
pd_lste_dt,float64,1,0,0.06,80,,20250116.0,99991231.0,99991231.0 (1521); 20250508.0 (16); 20260521.0 (8)
pd_lstg_dt,float64,1,0,0.06,601,,10001231.0,20260616.0,20221017.0 (22); 20260527.0 (18); 20220427.0 (17)
pd_mkt_id,object,1,0,0.06,1,,,,STK (1733)
pd_mkt_nm,object,1,0,0.06,1,,,,유가증권 (1733)
pd_nav_pshr,float64,183,0,10.55,1537,,14.55,1074635.23,55401.72 (3); 13380.73 (2); 1523.28 (2)
pd_net_ast_pshr,float64,183,0,10.55,1,,0.0,0.0,0.0 (1551)
pd_net_prft_pshr,float64,183,0,10.55,1,,0.0,0.0,0.0 (1551)
pd_net_rt_ast_pshr,float64,183,0,10.55,1,,0.0,0.0,0.0 (1551)
pd_net_tamt,float64,183,0,10.55,1548,,89211572.0,28359162282520.0,45297510000.0 (2); 50423940000.0 (2); 26691220000.0 (2)
pd_nm,object,0,0,0.0,1734,,,,NH-Amundi HANARO 주주가치성장코 (1); 미래에셋 TIGER 미국채10년선물증권상장지 (1); 키움증권 키움 바이오TOP10 상장지수증권  (1)
pd_pen_risk_nm,object,0,0,0.0,3,,,,위험자산 (788); N (732); 안전자산 (214)
pd_pen_tr_yn,object,0,0,0.0,2,,,,Y (1002); N (732)
pd_risk_cd,object,0,0,0.0,6,,,,PD_RISK_GCD_11 (761); PD_RISK_GCD_12 (667); PD_RISK_GCD_15 (115)
pd_risk_nm,object,0,0,0.0,6,,,,매우높은위험(1등급) (761); 높은위험(2등급) (667); 낮은위험(5등급) (115)
pd_sale_yn,int64,0,0,0.0,2,,0.0,1.0,1 (1520); 0 (214)
pd_sect_cd,float64,183,0,10.55,5,,2.0,9.0,2.0 (1126); 3.0 (406); 8.0 (16)
pd_sect_nm,float64,1734,0,100.0,0,,,,
pd_spac_yn,object,183,0,10.55,1,,,,N (1551)
pd_stk_cnt,float64,183,0,10.55,646,,48000.0,11287100000.0,1000000.0 (195); 2000000.0 (74); 500000.0 (69)
pd_tr_yn,float64,1,0,0.06,2,,0.0,1.0,0.0 (1661); 1.0 (72)
ru_mkt_price,float64,1734,0,100.0,0,,,,
ru_mkt_volume,float64,1734,0,100.0,0,,,,
wu_core_yn,object,0,0,0.0,2,,,,N (1646); Y (88)
wu_inv_ast_type,object,0,0,0.0,8,,,,주식 (1069); 채권 (261); 원자재 (207)
wu_inv_rgn,object,0,0,0.0,11,,,,국내 (1036); 미국 (453); 글로벌 (76)
wu_upt_dt,float64,5,0,0.29,1,,20260615.0,20260615.0,20260615.0 (1729)
