AFTER_TAX_YIELD,APPLIED_YIELD,AVG_ANNUAL_TAX_YIELD,BDBNS_ABL_CHNL_NM,BDBNS_ABL_CHNL_TCD,BD_INRT_TCD,BD_INTP_TCD,BD_KND,BD_OFR_TCD,BD_TISU_A,BUYABLE_QUANTITY,BUY_YIELD,CORP_AFTER_TAX_YIELD,CORP_PRETAX_YIELD,COV,CRD_GRD,CRD_GRD_DT,CURR_CD,DEPO_EQUIV_YIELD_154,DEPO_EQUIV_YIELD_495,DIRTY,DUR,EVAL_PRICE,EXG_CLOSE_PRICE,EXG_CLOSE_PRICE_BASE_DT,EXG_CLOSE_YIELD,EXRT_GRTE_ERN_R,EXRT_GRTE_ERN_R_TCD,EXRT_RPY_R,INFO_BASE_DT,INFO_SEQ,ISU_BAL_AMT,ISU_DT,MAT_DT,NDY_APPLIED_YIELD,NDY_COV,NDY_DIRTY,NDY_DUR,NDY_EVAL_PRICE,PD_ABRV_ENG_NM,PD_ABRV_NM,PD_CTRY_CD,PD_ENG_NM,PD_EXG_MKT,PD_NM,PD_NO,PD_PBCM,PD_PEN_TR_YN,PD_RISK_GCD,PD_RISK_NM,PD_STD_INFO_UPDATE,PREF_TAX_YIELD,REMAINING_DAYS,SALE_YIELD_BASE_DT,SRFC_IRT,STD_PD_MCLS_NM,STD_PD_SCLS_NM,TRADE_PRICE,drv_is_perpetual,drv_maturity_status,drv_is_matured,drv_is_buyable,drv_crd_grd_norm,drv_crd_grd_rank,drv_risk_grade,drv_std_info_lag_days,drv_is_intl_bond
,3.868,,,,고정금리,복리채,지역개발채,공모,23655490000,,,,,7.2705,,,KRW,,,10342.37,2.2971,10342.37,9482.0,2024-01-31,3.658,0.0,99,100.0,2026-08-21,1,23543660000.0,2023-12-31,2028-12-31,3.868,7.2317,10343.45,2.3032,10343.45,CHUNGBUK PROVINCIAL23-12,충북지역개발23-12,KR,CHUNGBUK PROVINCIAL DEVELOPMENT23-12,장내,충북지역개발채권 23-12,KR2033022DC4,충청북도,Y,16,매우낮은위험(6등급),2026-08-21,,863.0,,2.5,국공채,지역개발,,N,active,N,Y,,,6,1,N
,3.858,,,,고정금리,복리채,지역개발채,공모,72634245000,,,,,6.8382,,,KRW,,,10378.27,2.2144,10378.27,9493.0,2023-12-28,3.627,0.0,99,100.0,2026-08-21,1,72477575000.0,2023-11-30,2028-11-30,3.858,6.8033,10379.36,2.2201,10379.36,KYUNGKI PROVINCIAL23-11,경기지역개발23-11,KR,KYUNGKI PROVINCIAL DEVELOPMENT23-11,장내,경기지역개발채권 23-11,KR2044022DB3,경기도,Y,16,매우낮은위험(6등급),2026-08-21,,832.0,,2.5,국공채,지역개발,,N,active,N,Y,,,6,1,N
,4.31,,,,고정금리,복리채,지역개발채,공모,61060910000,,,,,26.1137,,,KRW,,,8992.92,4.7075,8992.92,8952.0,2026-07-31,4.356,0.0,99,100.0,2026-08-21,1,60860835000.0,2026-06-30,2031-06-30,4.31,26.083,8993.95,4.7226,8993.95,KYUNGKI PROVINCIAL26-06,경기지역개발26-06,KR,KYUNGKI PROVINCIAL DEVELOPMENT26-06,장내,경기지역개발채권 26-06,KR2044022G60,경기도,Y,16,매우낮은위험(6등급),2026-08-21,,1774.0,,2.0,국공채,지역개발,,N,active,N,Y,,,6,1,N
,4.169,,,,고정금리,이표채,일반회사채,공모,87000000000,,,,,1.3014,A-,2026-06-24,KRW,,,10129.26,1.02,10129.26,,,,0.0,99,100.0,2026-08-21,1,87000000000.0,2024-09-11,2027-09-10,4.169,1.2952,10130.41,1.0189,10130.41,DOOSAN ENERBILITY79-2,두산에너빌리티79-2,KR,DOOSAN ENERBILITY79-2,장외,두산에너빌리티79-2,KR6034022E93,두산에너빌리티(주),Y,14,보통위험(4등급),2026-08-21,,385.0,,4.571,회사채,일반사채,,N,active,N,Y,A-,7,4,1,N
,4.291,,,,고정금리,이표채,일반특수법인채,공모,200000000000,,,,,13.1587,AAA,2020-03-04,KRW,,,9154.03,3.3752,9154.03,0.0,,0.0,0.0,99,100.0,2026-08-21,1,200000000000.0,2020-03-04,2030-03-04,4.291,13.1427,9155.09,3.3792,9155.09,KEPCO1022,한국전력1022,KR,KOREA ELECTRIC POWER CORPCORPORATION1022,장내,한국전력공사채권1022,KR350101GA36,한국전력공사(주),Y,16,매우낮은위험(6등급),2026-08-21,,1291.0,,1.479,특수채,공사채,,N,active,N,Y,AAA,1,6,1,N
,4.421,,,,고정금리,이표채,일반특수법인채,공모,90000000000,,,,,24.679,AAA,2021-09-03,KRW,,,9052.79,4.6613,9052.79,0.0,,0.0,0.0,99,100.0,2026-08-21,1,90000000000.0,2021-09-03,2031-09-03,4.421,24.6583,9053.87,4.6679,9053.87,INCHEON INTER AIR165,인천국제공항공사165,KR,INCHEON INTERNATIONAL AIRPORT165,장내,인천국제공항공사165,KR352202GB96,인천국제공항공사,N,16,매우낮은위험(6등급),2026-08-21,,1839.0,,2.086,특수채,공사채,,N,active,N,Y,AAA,1,6,1,N
,3.784,,,,고정금리,복리채,국민주택1종,공모,1061845440000,,,,,7.2817,,,KRW,,,9769.63,2.2984,9769.63,8946.5,2024-01-31,3.642,0.0,99,100.0,2026-08-21,1,1057645300000.0,2023-12-31,2028-12-31,3.784,7.2426,9770.63,2.3043,9770.63,KNHB (Ⅰ)23-12,국민주택1종23-12,KR,KOREA NATIONAL HOUSING BOND (Ⅰ)23-12,장내,국민주택1종채권 23-12,KR101501DDC7,대한민국,Y,16,매우낮은위험(6등급),2026-08-21,,863.0,,1.3,국공채,국민주택,,N,active,N,Y,,,6,1,N
,4.256,,,,고정금리,복리채,도시철도공채,공모,46090300000,,,,,23.7081,,,KRW,,,9747.3,4.4688,9747.3,9015.0,2024-04-30,3.985,0.0,99,100.0,2026-08-21,1,46024700000.0,2024-03-31,2031-03-31,4.256,23.6678,9748.41,4.4832,9748.41,SEOUL SUBWAY24-03,서울도시철도24-03,KR,SEOUL METROPOLITAN CITY SUBWAY BOND24-03,장내,서울도시철도공채증권 24-03,KR2001024E37,서울특별시,Y,16,매우낮은위험(6등급),2026-08-21,,1683.0,,2.5,국공채,도시철도,,N,active,N,Y,,,6,1,N
,4.387,,,,고정금리,복리채,도시철도공채,공모,44675715000,,,,,33.0026,,,KRW,,,9317.68,5.351,9317.68,9524.0,2025-03-31,3.164,0.0,99,100.0,2026-08-21,1,44554365000.0,2025-02-28,2032-02-29,4.387,32.9621,9318.78,5.3693,9318.78,SEOUL SUBWAY25-02,서울도시철도25-02,KR,SEOUL METROPOLITAN CITY SUBWAY BOND25-02,장내,서울도시철도공채증권 25-02,KR2001024F28,서울특별시,Y,16,매우낮은위험(6등급),2026-08-21,,2018.0,,2.5,국공채,도시철도,,N,active,N,Y,,,6,1,N
,3.868,,,,고정금리,복리채,지역개발채,공모,7825720000,,,,,7.2705,,,KRW,,,10342.37,2.2971,10342.37,9482.0,2024-01-31,3.658,0.0,99,100.0,2026-08-21,1,7682680000.0,2023-12-31,2028-12-31,3.868,7.2317,10343.45,2.3032,10343.45,BUSAN PROVINCIAL23-12,부산지역개발23-12,KR,BUSAN PROVINCIAL DEVELOPMENT23-12,장내,부산지역개발채권 23-12,KR2006012DC8,부산광역시,Y,16,매우낮은위험(6등급),2026-08-21,,863.0,,2.5,국공채,지역개발,,N,active,N,Y,,,6,1,N
,4.201,,,,고정금리,복리채,지역개발채,공모,74432070000,,,,,21.467,,,KRW,,,9224.26,4.2313,9224.26,9247.0,2026-01-30,3.668,0.0,99,100.0,2026-08-21,1,74047030000.0,2025-12-31,2030-12-31,4.201,21.4266,9225.31,4.2447,9225.31,KYUNGKI PROVINCIAL25-12,경기지역개발25-12,KR,KYUNGKI PROVINCIAL DEVELOPMENT25-12,장내,경기지역개발채권 25-12,KR2044022FC6,경기도,Y,16,매우낮은위험(6등급),2026-08-21,,1593.0,,2.0,국공채,지역개발,,N,active,N,Y,,,6,1,N
,4.183,,,,고정금리,복리채,지역개발채,공모,14086020000,,,,,20.7278,,,KRW,,,9263.75,4.1492,9263.75,9333.0,2025-12-30,3.473,0.0,99,100.0,2026-08-21,1,14044880000.0,2025-11-30,2030-11-30,4.183,20.6904,9264.8,4.1621,9264.8,CHUNNAM PROVINCIAL25-11,전남지역개발25-11,KR,CHUNNAM PROVINCIAL DEVELOPMENT25-11,장내,전남지역개발채권 25-11,KR2066022FB1,전남광주통합특별시,Y,16,매우낮은위험(6등급),2026-08-21,,1562.0,,2.0,국공채,지역개발,,N,active,N,Y,,,6,1,N
,4.31,,,,고정금리,복리채,지역개발채,공모,19826700000,,,,,26.1137,,,KRW,,,8992.92,4.7075,8992.92,8952.0,2026-07-31,4.356,0.0,99,100.0,2026-08-21,1,19633555000.0,2026-06-30,2031-06-30,4.31,26.083,8993.95,4.7226,8993.95,CHUNNAM PROVINCIAL26-06,전남지역개발26-06,KR,CHUNNAM PROVINCIAL DEVELOPMENT26-06,장내,전남지역개발채권 26-06,KR2066022G63,전남광주통합특별시,Y,16,매우낮은위험(6등급),2026-08-21,,1774.0,,2.0,국공채,지역개발,,N,active,N,Y,,,6,1,N
,3.528,,,,고정금리,복리채,지역개발채,공모,22254040000,,,,,2.1407,,,KRW,,,10137.76,1.0813,10137.76,8330.0,2022-10-31,4.894,0.0,99,100.0,2026-08-21,1,22175105000.0,2022-09-30,2027-09-30,3.528,2.1214,10138.74,1.0827,10138.74,KYUNGBUK PROVINCIAL22-09,경북지역개발22-09,KR,KYUNGBUK PROVINCIAL DEVELOPMENT22-09,장내,경북지역개발채권 22-09,KR2077012C90,경상북도,Y,16,매우낮은위험(6등급),2026-08-21,,405.0,,1.05,국공채,지역개발,,N,active,N,Y,,,6,1,N
,4.499,,,,고정금리,이표채,일반특수법인채,공모,110000000000,,,,,54.0997,AAA,2019-05-15,KRW,,,8360.18,7.0628,8360.18,0.0,,0.0,0.0,99,100.0,2026-08-21,1,110000000000.0,2019-05-15,2034-05-15,4.499,54.0718,8361.19,7.0675,8361.19,KOGAS394,한국가스공사394,KR,KOREA GAS394,장내,한국가스공사 394,KR350801G954,한국가스공사(주),N,16,매우낮은위험(6등급),2026-08-21,,2824.0,,1.972,특수채,공사채,,N,active,N,Y,AAA,1,6,1,N
,5.007,,,,고정금리,이표채,할부금융채,공모,210000000000,,,,,2.3234,A0,2026-02-04,KRW,,,9924.09,1.4004,9924.09,0.0,,0.0,0.0,99,100.0,2026-08-21,1,210000000000.0,2026-02-04,2028-02-04,5.007,2.3155,9925.43,1.3998,9925.43,KIC133,한국투자캐피탈133,KR,Korea Investment Capital133,장내,한국투자캐피탈133,KR6214341G28,한국투자캐피탈(주),Y,14,보통위험(4등급),2026-08-21,,532.0,,4.321,회사채,일반사채,,N,active,N,Y,A,6,4,1,N
,3.441,,,,고정금리,복리채,국민주택1종,공모,1153393810000,,,,,1.9337,,,KRW,,,10150.8,1.0013,10150.8,,,,0.0,99,100.0,2026-08-21,1,1143483050000.0,2022-08-31,2027-08-31,3.441,1.9251,10151.76,1.0022,10151.76,KNHB (Ⅰ)22-08,국민주택1종22-08,KR,KOREA NATIONAL HOUSING BOND (Ⅰ)22-08,장외,국민주택1종채권 22-08,KR101501DC89,대한민국,Y,16,매우낮은위험(6등급),2026-08-21,,375.0,,1.0,국공채,국민주택,,N,active,N,Y,,,6,1,N
,2.437,,,,고정금리,복리채,국민주택2종,공모,282120000,,,,,1.2329,,,KRW,,,9814.54,0.7618,9814.54,,,,0.0,99,100.0,2026-08-21,1,282120000.0,2017-05-31,2027-05-31,2.437,1.2019,9815.19,0.7617,9815.19,KNHB (Ⅱ)17-05,국민주택2종17-05,KR,KOREA NATIONAL HOUSING BOND (Ⅱ)17-05,장외,국민주택2종 2017-05,KR101701D757,대한민국,N,16,매우낮은위험(6등급),2026-08-21,,283.0,,0.0,국공채,국민주택,,N,active,N,Y,,,6,1,N
,4.635,,,,고정금리,이표채,국고채권,공모,20278021600000,,,,,182.8398,,,KRW,,,8201.3,12.2772,8201.3,,,,0.0,99,100.0,2026-08-21,1,10665013600000.0,2012-12-10,2042-12-10,4.635,182.7904,8202.33,12.2989,8202.33,KTB03000-4212(12-5),국고03000-4212(12-5),KR,KOREA TREASURY BOND03000-4212(12-5),장외,국고채권03000-4212(12-5),KR10350172C8,대한민국,Y,16,매우낮은위험(6등급),2026-08-21,,5955.0,,3.0,국공채,국고채,,N,active,N,Y,,,6,1,N
,4.161,,,,고정금리,이표채,국고채권,공모,19960560000000,,,,,25.8099,,,KRW,,,10001.77,4.7187,10001.77,,,,0.0,99,100.0,2026-08-21,1,14552560000000.0,2011-12-10,2031-12-10,4.161,25.7846,10002.89,4.7251,10002.89,KTB04000-3112(11-7),국고04000-3112(11-7),KR,KOREA TREASURY BOND04000-3112(11-7),장외,국고채권 04000-3112(11-7),KR10350271C8,대한민국,Y,16,매우낮은위험(6등급),2026-08-21,,1937.0,,4.0,국공채,국고채,,N,active,N,Y,,,6,1,N
,4.668,,,,고정금리,이표채,국고채권,공모,9220000000000,,,,,802.2941,,,KRW,,,4407.1,23.1787,4407.1,,,,0.0,99,100.0,2026-08-21,1,4102000000000.0,2020-09-10,2070-09-10,4.668,802.515,4407.65,23.228,4407.65,KTB01625-7009(20-10),국고01625-7009(20-10),KR,KOREA TREASURY BOND01625-7009(20-10),장외,국고채권 01625-7009(20-10),KR103503GA90,대한민국,Y,16,매우낮은위험(6등급),2026-08-21,,16091.0,,1.625,국공채,국고채,,N,active,N,Y,,,6,1,N
,3.207,,,,고정금리,복리채,도시철도공채,공모,49828160000,,,,,0.6375,,,KRW,,,10533.25,0.5122,10533.25,,,,0.0,99,100.0,2026-08-21,1,49792010000.0,2020-02-29,2027-02-28,3.207,0.597,10534.16,0.5122,10534.16,SEOUL SUBWAY20-02,서울도시철도20-02,KR,SEOUL METROPOLITAN CITY SUBWAY BOND20-02,장외,서울도시철도공채증권 20-02,KR2001034A21,서울특별시,Y,16,매우낮은위험(6등급),2026-08-21,,191.0,,1.0,국공채,도시철도,,N,active,N,Y,,,6,1,N
,3.64,,,,고정금리,복리채,지역개발채,공모,15596835000,,,,,3.193,,,KRW,,,10741.99,1.4099,10741.99,,,,0.0,99,100.0,2026-08-21,1,15538490000.0,2023-01-31,2028-01-31,3.64,3.1526,10743.05,1.4128,10743.05,KANGWON PROVINCIAL23-01,강원지역개발23-01,KR,KANGWON PROVINCIAL DEVELOPMENT23-01,장외,강원지역개발채권 23-01,KR2002012D14,강원도,Y,16,매우낮은위험(6등급),2026-08-21,,528.0,,2.5,국공채,지역개발,,N,active,N,Y,,,6,1,N
,2.974,,,,고정금리,복리채,지역개발채,공모,16948805000,,,,,0.241,,,KRW,,,10450.03,0.2714,10450.03,,,,0.0,99,100.0,2026-08-21,1,16879970000.0,2021-11-30,2026-11-30,2.974,0.208,10450.87,0.2705,10450.87,KANGWON PROVINCIAL21-11,강원지역개발21-11,KR,KANGWON PROVINCIAL DEVELOPMENT21-11,장외,강원지역개발채권 21-11,KR2002022BB7,강원도,Y,16,매우낮은위험(6등급),2026-08-21,,101.0,,1.05,국공채,지역개발,,N,active,N,Y,,,6,1,N
,4.098,,,,고정금리,복리채,지역개발채,공모,13807485000,,,,,15.9038,,,KRW,,,9753.6,3.5828,9753.6,,,,0.0,99,100.0,2026-08-21,1,13740765000.0,2025-04-30,2030-04-30,4.098,15.8657,9754.66,3.5935,9754.66,KANGWON PROVINCIAL25-04,강원지역개발25-04,KR,KANGWON PROVINCIAL DEVELOPMENT25-04,장외,강원지역개발채권 25-04,KR2002022F44,강원도,N,16,매우낮은위험(6등급),2026-08-21,,1348.0,,2.5,국공채,지역개발,,N,active,N,Y,,,6,1,N
,4.098,,,,고정금리,복리채,지역개발채,공모,5894710000,,,,,15.9038,,,KRW,,,9753.6,3.5828,9753.6,,,,0.0,99,100.0,2026-08-21,1,5871660000.0,2025-04-30,2030-04-30,4.098,15.8657,9754.66,3.5935,9754.66,DAEJON PROVINCIAL25-04,대전지역개발25-04,KR,DAEJON PROVINCIAL DEVELOPMENT25-04,장외,대전지역개발채권25-04,KR2003022F42,대전광역시,Y,16,매우낮은위험(6등급),2026-08-21,,1348.0,,2.5,국공채,지역개발,,N,active,N,Y,,,6,1,N
,3.208,,,,고정금리,복리채,지역개발채,공모,12676550000,,,,,0.6375,,,KRW,,,10362.04,0.5122,10362.04,,,,0.0,99,100.0,2026-08-21,1,12655920000.0,2022-02-28,2027-02-28,3.208,0.597,10362.94,0.5122,10362.94,INCHEON PROVINCIAL22-02,인천지역개발22-02,KR,INCHEON PROVINCIAL DEVELOPMENT22-02,장외,인천지역개발채권 22-02,KR2004012C29,인천광역시,Y,16,매우낮은위험(6등급),2026-08-21,,191.0,,1.05,국공채,지역개발,,N,active,N,Y,,,6,1,N
,4.105,,,,고정금리,복리채,지역개발채,공모,7735715000,,,,,16.5777,,,KRW,,,9718.13,3.6646,9718.13,,,,0.0,99,100.0,2026-08-21,1,7731410000.0,2025-05-31,2030-05-31,4.105,16.5436,9719.19,3.6755,9719.19,INCHEON PROVINCIAL25-05,인천지역개발25-05,KR,INCHEON PROVINCIAL DEVELOPMENT25-05,장외,인천지역개발채권 25-05,KR2004022F57,인천광역시,Y,16,매우낮은위험(6등급),2026-08-21,,1379.0,,2.5,국공채,지역개발,,N,active,N,Y,,,6,1,N
,4.078,,,,고정금리,복리채,지역개발채,공모,5777365000,,,,,14.0647,,,KRW,,,9856.02,3.3469,9856.02,,,,0.0,99,100.0,2026-08-21,1,5775045000.0,2025-01-31,2030-01-31,4.078,14.0228,9857.11,3.3569,9857.11,KWANGJU PROVINCIAL25-01,광주지역개발25-01,KR,KWANGJU PROVINCIAL DEVELOPMENT25-01,장외,광주지역개발채권 25-01,KR2005012F15,전남광주통합특별시,N,16,매우낮은위험(6등급),2026-08-21,,1259.0,,2.5,국공채,지역개발,,N,active,N,Y,,,6,1,N
,3.464,,,,고정금리,복리채,도시철도공채,공모,9807895000,,,,,1.6857,,,KRW,,,10202.86,0.9185,10202.86,,,,0.0,99,100.0,2026-08-21,1,9793365000.0,2022-07-31,2027-07-31,3.464,1.6718,10203.8,0.9193,10203.8,BUSAN SUBWAY22-07,부산도시철도22-07,KR,BUSAN SUBWAY22-07,장외,부산도시철도공채증권 22-07,KR2006014C71,부산광역시,Y,16,매우낮은위험(6등급),2026-08-21,,344.0,,1.05,국공채,도시철도,,N,active,N,Y,,,6,1,N
,3.528,,,,고정금리,복리채,지역개발채,공모,3084560000,,,,,2.1407,,,KRW,,,10137.76,1.0813,10137.76,,,,0.0,99,100.0,2026-08-21,1,3048035000.0,2022-09-30,2027-09-30,3.528,2.1214,10138.74,1.0827,10138.74,BUSAN PROVINCIAL22-09,부산지역개발22-09,KR,BUSAN PROVINCIAL DEVELOPMENT22-09,장외,부산지역개발채권 22-09,KR2006022C97,부산광역시,Y,16,매우낮은위험(6등급),2026-08-21,,405.0,,1.05,국공채,지역개발,,N,active,N,Y,,,6,1,N
,3.777,,,,고정금리,복리채,지역개발채,공모,5147455000,,,,,4.8797,,,KRW,,,10560.15,1.8072,10560.15,,,,0.0,99,100.0,2026-08-21,1,5135575000.0,2023-06-30,2028-06-30,3.777,4.8549,10561.21,1.8112,10561.21,BUSAN PROVINCIAL23-06,부산지역개발23-06,KR,BUSAN PROVINCIAL DEVELOPMENT23-06,장외,부산지역개발채권 23-06,KR2006022D62,부산광역시,N,16,매우낮은위험(6등급),2026-08-21,,679.0,,2.5,국공채,지역개발,,N,active,N,Y,,,6,1,N
,3.892,,,,고정금리,복리채,지역개발채,공모,2518800000,,,,,8.144,,,KRW,,,10272.91,2.454,10272.91,,,,0.0,99,100.0,2026-08-21,1,2503085000.0,2024-02-29,2029-02-28,3.892,8.1032,10273.98,2.4607,10273.98,BUSAN PROVINCIAL24-02,부산지역개발24-02,KR,BUSAN PROVINCIAL DEVELOPMENT24-02,장외,부산지역개발채권 24-02,KR2006022E20,부산광역시,N,16,매우낮은위험(6등급),2026-08-21,,922.0,,2.5,국공채,지역개발,,N,active,N,Y,,,6,1,N
,4.057,,,,고정금리,복리채,지역개발채,공모,2505855000,,,,,12.3178,,,KRW,,,9962.74,3.1019,9962.74,,,,0.0,99,100.0,2026-08-21,1,2484895000.0,2024-10-31,2029-10-31,4.057,12.2857,9963.84,3.1106,9963.84,BUSAN PROVINCIAL24-10,부산지역개발24-10,KR,BUSAN PROVINCIAL DEVELOPMENT24-10,장외,부산지역개발채권 24-10,KR2006022EA9,부산광역시,N,16,매우낮은위험(6등급),2026-08-21,,1167.0,,2.5,국공채,지역개발,,N,active,N,Y,,,6,1,N
