AFTER_TAX_YIELD,APPLIED_YIELD,AVG_ANNUAL_TAX_YIELD,BDBNS_ABL_CHNL_NM,BDBNS_ABL_CHNL_TCD,BD_INRT_TCD,BD_INTP_TCD,BD_KND,BD_OFR_TCD,BD_TISU_A,BUYABLE_QUANTITY,BUY_YIELD,CORP_AFTER_TAX_YIELD,CORP_PRETAX_YIELD,COV,CRD_GRD,CRD_GRD_DT,CURR_CD,DEPO_EQUIV_YIELD_154,DEPO_EQUIV_YIELD_495,DIRTY,DUR,EVAL_PRICE,EXG_CLOSE_PRICE,EXG_CLOSE_PRICE_BASE_DT,EXG_CLOSE_YIELD,EXRT_GRTE_ERN_R,EXRT_GRTE_ERN_R_TCD,EXRT_RPY_R,INFO_BASE_DT,INFO_SEQ,ISU_BAL_AMT,ISU_DT,MAT_DT,NDY_APPLIED_YIELD,NDY_COV,NDY_DIRTY,NDY_DUR,NDY_EVAL_PRICE,PD_ABRV_ENG_NM,PD_ABRV_NM,PD_CTRY_CD,PD_ENG_NM,PD_EXG_MKT,PD_NM,PD_NO,PD_PBCM,PD_PEN_TR_YN,PD_RISK_GCD,PD_RISK_NM,PD_STD_INFO_UPDATE,PREF_TAX_YIELD,REMAINING_DAYS,SALE_YIELD_BASE_DT,SRFC_IRT,STD_PD_MCLS_NM,STD_PD_SCLS_NM,TRADE_PRICE,drv_is_perpetual,drv_maturity_status,drv_is_matured,drv_is_buyable,drv_crd_grd_norm,drv_crd_grd_rank,drv_risk_grade,drv_std_info_lag_days,drv_is_intl_bond
,189.346,,,,고정금리,단리채,,공모,3407402000,,,,,1.5432,C0,2025-06-27,KRW,,,3103.47,0.8628,3103.47,,,,0.0,99,100.0,2026-08-21,1,0.0,2025-06-27,2027-09-27,189.346,1.5383,3104.21,0.861,3104.21,Kodit 2025 15th SEC1-2(S),신보2025제15차유동화1-2(사),KR,Kodit 2025 the 15th Securitization Specialty1-2(S),장외,신보2025제15차유동화전문1-2(사),KR60076B2F67,,N,11,매우높은위험(1등급),2026-08-21,,402.0,,3.131,회사채,일반사채,,N,active,N,Y,C,19,1,1,N
,3.54,,,,변동금리,이표채,Conduit회사채,사모,30000000000,,,,,0.0199,AA0,2025-12-19,KRW,,,10000.14,0.0804,10000.14,,,,0.0,99,100.0,2026-08-21,1,0.0,2025-12-19,2031-02-19,3.54,0.0193,10001.1,0.079,10001.1,saemunan 1st1-1,새문안1호1-1,KR,saemunan 1st1-1,장외,새문안1호1-1(사모),KR60145A1FC0,새문안1호(주),N,15,낮은위험(5등급),2026-08-21,,1643.0,,3.32,회사채,일반사채,,N,active,N,Y,AA,3,5,1,N
,5.782,,,,고정금리,이표채,Conduit회사채,사모,100000000000,,,,,3.7012,A-,2026-04-14,KRW,,,9876.06,1.7801,9876.06,,,,0.0,99,100.0,2026-08-21,1,67409186880.0,2025-08-11,2028-07-10,5.782,3.6909,9877.61,1.7774,9877.61,,,KR,With G M 34th1,장외,위드지엠제삼십사차1(사모/콜/강제),KR60082C1F80,위드지엠제삼십사차(주),N,14,보통위험(4등급),2026-08-21,,689.0,,4.7775,회사채,일반사채,,N,active,N,Y,A-,7,4,1,N
,3.279,,,,고정금리,이표채,일반회사채,공모,30000000000,,,,,0.0727,A+,2023-04-04,KRW,,,10015.74,0.183,10015.74,0.0,,0.0,0.0,99,100.0,2026-08-21,1,30000000000.0,2021-10-28,2026-10-28,3.279,0.0694,10016.63,0.1812,10016.63,Dongwon Systems27-2(G),동원시스템즈27-2(녹),KR,Dongwon Systems27-2(G),장내,동원시스템즈27-2(녹),KR6014821BA1,동원시스템즈(주),N,14,보통위험(4등급),2026-08-21,,68.0,,3.058,회사채,일반사채,,N,active,N,Y,A+,5,4,1,N
,4.459,,,,고정금리,이표채,유동화회사채,공모,56000000000,,,,,5.4295,AAA,2026-02-04,KRW,,,9866.61,2.2969,9866.61,0.0,,0.0,0.0,99,100.0,2026-08-21,1,54720000000.0,2026-02-12,2029-01-29,4.459,5.3194,9867.8,2.2882,9867.8,Cube Jangan SEC1,큐브장안유1,KR,Cube Jangan Securitization Specialty1,장내,큐브장안유동화전문 1(콜),KR60150S1G23,큐브장안유동화전문(유),N,15,낮은위험(5등급),2026-08-21,,892.0,,3.78,회사채,일반사채,,N,active,N,Y,AAA,1,5,1,N
,4.553,,,,고정금리,이표채,일반회사채,공모,80000000000,,,,,2.6636,A0,2025-03-13,KRW,,,9886.16,1.5052,9886.16,0.0,,0.0,0.0,99,100.0,2026-08-21,1,80000000000.0,2025-03-13,2028-03-13,4.553,2.6555,9887.38,1.5046,9887.38,HD CE16-1,HD건설기계16-1,KR,HD Construction Equipment16-1,장내,HD현대건설기계 16-1,KR6042671F32,에이치디건설기계(주),Y,14,보통위험(4등급),2026-08-21,,570.0,,3.374,회사채,일반사채,,N,active,N,Y,A,6,4,1,N
,4.375,,,,고정+변동금리,이표채,Conduit회사채,사모,30000000000,,,,,0.0469,AA+,2023-04-14,KRW,,,10068.85,0.138,10068.85,,,,0.0,99,100.0,2026-08-21,1,30000000000.0,2022-07-15,2027-07-09,4.375,0.0462,10069.74,0.1366,10069.74,mirrone 2nd1,미르원제이차1,KR,mirrone 2nd1,장외,미르원제이차 1(사모/콜),KR6420401C71,미르원제이차(주),N,15,낮은위험(5등급),2026-08-21,,322.0,,4.579,회사채,일반사채,,N,active,N,Y,AA+,2,5,1,N
,4.445,,,,고정금리,이표채,시설대여채(리스),공모,30000000000,,,,,7.8334,AA-,2026-06-18,KRW,,,10041.08,2.6332,10041.08,0.0,,0.0,0.0,99,100.0,2026-08-21,1,30000000000.0,2026-06-18,2029-06-18,4.445,7.8207,10042.29,2.6336,10042.29,KB CAPITAL585-3,케이비캐피탈585-3,KR,KB CAPITAL585-3,장내,케이비캐피탈 585-3,KR6021963G65,케이비캐피탈(주),N,15,낮은위험(5등급),2026-08-21,,1032.0,,4.318,회사채,일반사채,,N,active,N,Y,AA-,4,5,1,N
,4.492,,,,고정금리,단리채,일반은행채,공모,10000000000,,,,,140.1008,AAA,2026-02-02,KRW,,,9350.44,13.0082,9350.44,,,,0.0,99,100.0,2026-08-21,1,10000000000.0,2026-02-02,2041-02-02,4.492,177.746,9351.68,13.5189,9351.68,SCBank26-02SIM(CALL)01-02,스탠다드차타드은행26-02-단(콜)01-02,KR,StandardCharteredBank26-02SIM(CALL)01-02,장외,스탠다드차타드은행26-02-단(콜)01-02(콜),KR6000111G29,(주)한국스탠다드차타드은행,N,15,낮은위험(5등급),2026-08-21,,5279.0,,5.1,회사채,은행채,,N,active,N,Y,AAA,1,5,1,N
,4.15,,,,고정금리,할인채,Conduit회사채,사모,398000000,,,,,1.1987,AAA,2026-01-07,KRW,,,9688.22,0.7599,9688.22,,,,0.0,99,100.0,2026-08-21,1,398000000.0,2026-01-06,2027-05-31,4.15,1.1917,9689.29,0.7572,9689.29,rucross 9th1-1,루크로스제구차1-1,KR,rucross 9th1-1,장외,루크로스제구차 1-1(사모),KR60037C1G18,루크로스제구차(주),N,15,낮은위험(5등급),2026-08-21,,283.0,,3.3709,회사채,일반사채,,N,active,N,Y,AAA,1,5,1,N
,112.282,,,,고정금리,단리채,,공모,6030000000,,,,,3.4323,C0,2025-02-28,KRW,,,3016.18,1.4482,3016.18,,,,0.0,99,100.0,2026-08-21,1,0.0,2025-02-28,2028-05-28,112.282,3.424,3016.96,1.4464,3016.96,Kodit 2025 1st SEC1-2(S),신보2025제1차유동화1-2(사),KR,Kodit 2025 the 1st Securitization Specialty1-2(S),장외,신보2025제1차유동화전문1-2(사),KR60019V2F24,,N,11,매우높은위험(1등급),2026-08-21,,646.0,,3.294,회사채,일반사채,,N,active,N,Y,C,19,1,1,N
,3.214,,,,고정금리,이표채,투자매매.중개채,공모,140000000000,,,,,0.0067,AA0,2026-03-17,KRW,,,10079.12,0.0371,10079.12,0.0,,0.0,0.0,99,100.0,2026-08-21,1,140000000000.0,2024-09-04,2026-09-04,3.214,0.0049,10080.0,0.0352,10080.0,KIWOOM Securities11-1,키움증권11-1,KR,KIWOOM Securities11-1,장내,키움증권11-1,KR6039491E94,키움증권(주),N,15,낮은위험(5등급),2026-08-21,,14.0,,3.658,회사채,일반사채,,N,active,N,Y,AA,3,5,1,N
,5.074,,,,고정금리,단리채,,공모,70000000000,,,,,520.2745,AAA,,,,,6356.17,26.1941,6356.17,,,,0.0,04,0.0,2026-08-21,1,70000000000.0,,,5.074,564.5133,6357.0,26.92,6357.0,,,XS,,장외,BAC 0 05/14/55 Corp,XS3067881758,,N,15,낮은위험(5등급),2026-08-21,,,,,회사채,기타사채,,N,unknown,N,Y,AAA,1,5,1,Y
,5.265,,,,고정금리,이표채,할부금융채,사모,10000000000,,,,,2.564,BBB+,2026-03-09,KRW,,,9996.72,1.4748,9996.72,,,,0.0,99,100.0,2026-08-21,1,10000000000.0,2026-03-06,2028-03-06,5.265,2.5556,9998.15,1.4721,9998.15,K Car Capital46,케이카캐피탈46,KR,K Car Capital46,장외,케이카캐피탈46(사모),KR6350751G31,(주)케이카캐피탈,N,13,다소높은위험(3등급),2026-08-21,,563.0,,4.6,회사채,일반사채,,N,active,N,Y,BBB+,8,3,1,N
,85.659,,,,고정금리,단리채,,공모,2022300000,,,,,5.7722,C0,2025-09-22,KRW,,,2852.02,1.9903,2852.02,,,,0.0,99,100.0,2026-08-21,1,0.0,2025-09-30,2028-12-30,85.659,5.7625,2852.74,1.9885,2852.74,Kodit 2025 19th SEC1-4(S),신보2025제19차유동화1-4(사),KR,Kodit 2025 the 19th Securitization Specialty1-4(S),장외,신보2025제19차유동화전문1-4(사),KR60106S4F98,,N,11,매우높은위험(1등급),2026-08-21,,862.0,,3.257,회사채,일반사채,,N,active,N,Y,C,19,1,1,N
,4.635,,,,고정금리,이표채,Conduit회사채,사모,400000000,,,,,10.7999,,,KRW,,,9666.12,3.1037,9666.12,,,,0.0,99,100.0,2026-08-21,1,400000000.0,2022-03-07,2029-12-21,4.635,10.7825,9667.34,3.101,9667.34,Cosmoabel2,코스모아벨2,KR,Cosmoabel2,장외,코스모아벨2(사모),KR6421662C32,코스모아벨(주),N,11,매우높은위험(1등급),2026-08-21,,1218.0,,3.3,회사채,일반사채,,N,active,N,Y,,,1,1,N
,4.497,,,,고정금리,이표채,투자매매.중개채,공모,100000000000,,,,,14.8435,AA+,2025-07-25,KRW,,,9470.82,3.6743,9470.82,0.0,,0.0,0.0,99,100.0,2026-08-21,1,100000000000.0,2025-07-25,2030-07-25,4.497,14.8268,9471.97,3.6757,9471.97,SAMSUNG SECU23-2,삼성증권23-2,KR,SAMSUNG SECURITIES23-2,장내,삼성증권23-2,KR6016362F71,삼성증권(주),N,15,낮은위험(5등급),2026-08-21,,1434.0,,2.96,회사채,일반사채,,N,active,N,Y,AA+,2,5,1,N
,4.28,,,,고정금리,이표채,일반회사채,사모,50000000000,,,,,1.3854,AA0,2025-09-22,KRW,,,9918.76,1.0624,9918.76,,,,0.0,99,100.0,2026-08-21,1,50000000000.0,2025-09-22,2027-09-22,4.28,1.3791,9919.91,1.0597,9919.91,KOR ZINC12-1,고려아연12-1,KR,KOREA ZINC12-1,장외,고려아연 12-1(사모),KR6010131F90,고려아연(주),N,15,낮은위험(5등급),2026-08-21,,397.0,,3.044,회사채,일반사채,,N,active,N,Y,AA,3,5,1,N
