source_table,source_column,source_value,standard_dimension,standard_code,mapping_status,observed_count,note
overseas_etf,wu_inv_rgn,Greece,region,EUROPE,mapped,1,
overseas_etf,wu_inv_rgn,Finland,region,EUROPE,mapped,1,
overseas_etf,wu_inv_rgn,United Arab Emirates,region,MIDDLE_EAST_AFRICA,mapped,1,
overseas_etf,wu_inv_rgn,Hong Kong,region,CHINA,ambiguous,1,중화권이나 별도 시장. CHINA로 묶었으나 재검토 필요
overseas_etf,wu_inv_rgn,Colombia,region,AMERICAS_OTHER,mapped,1,
overseas_etf,wu_inv_rgn,Turkey,region,MIDDLE_EAST_AFRICA,ambiguous,1,"유럽/중동 경계, 관례상 중동아프리카로 분류"
overseas_etf,wu_inv_rgn,Africa,region,MIDDLE_EAST_AFRICA,mapped,1,
overseas_etf,wu_inv_rgn,Ireland,region,EUROPE,mapped,1,
overseas_etf,wu_inv_rgn,Chile,region,AMERICAS_OTHER,mapped,1,
overseas_etf,wu_inv_rgn,Argentina,region,AMERICAS_OTHER,mapped,1,
overseas_etf,wu_inv_rgn,Belgium,region,EUROPE,mapped,1,
overseas_etf,wu_inv_rgn,Philippines,region,ASIA_OTHER,mapped,1,
overseas_etf,wu_inv_rgn,BRIC,region,EMERGING_BRIC,mapped,1,
overseas_etf,wu_inv_rgn,Iceland,region,EUROPE,mapped,1,
overseas_etf,wu_inv_rgn,North America,region,AMERICAS_OTHER,ambiguous,1,미국 포함 여부 불명확
overseas_etf,wu_inv_rgn,Singapore,region,ASIA_OTHER,mapped,1,
overseas_etf,wu_inv_rgn,Denmark,region,EUROPE,mapped,1,
overseas_etf,wu_inv_rgn,ASEAN,region,ASIA_OTHER,mapped,1,
overseas_etf,wu_inv_rgn,Spain,region,EUROPE,mapped,1,
overseas_etf,wu_inv_rgn,France,region,EUROPE,mapped,1,
overseas_etf,wu_inv_rgn,Netherlands,region,EUROPE,mapped,1,
overseas_etf,wu_inv_rgn,Thailand,region,ASIA_OTHER,mapped,1,
overseas_etf,wu_inv_rgn,Kuwait,region,MIDDLE_EAST_AFRICA,mapped,1,
overseas_etf,wu_inv_rgn,South Africa,region,MIDDLE_EAST_AFRICA,mapped,1,
overseas_etf,wu_inv_rgn,New Zealand,region,OTHER,ambiguous,1,"오세아니아, 기존 7개 버킷에 없음"
overseas_etf,wu_inv_rgn,Sweden,region,EUROPE,mapped,1,
domestic_etf,wu_inv_ast_type,주식,asset_class,EQUITY,mapped,1069,
domestic_etf,wu_inv_ast_type,채권,asset_class,BOND,mapped,261,
domestic_etf,wu_inv_ast_type,원자재,asset_class,COMMODITY,mapped,207,
domestic_etf,wu_inv_ast_type,혼합자산,asset_class,MIXED,mapped,78,
domestic_etf,wu_inv_ast_type,단기자금,asset_class,MONEY_MARKET,mapped,42,
domestic_etf,wu_inv_ast_type,통화,asset_class,CURRENCY,mapped,41,
domestic_etf,wu_inv_ast_type,부동산,asset_class,REAL_ESTATE,mapped,18,
domestic_etf,wu_inv_ast_type,기타,asset_class,OTHER,ambiguous,18,원본에 세부 구분 없음
overseas_etf,wu_inv_ast_type,Equity,asset_class,EQUITY,mapped,2500,
overseas_etf,wu_inv_ast_type,Alternatives,asset_class,ALTERNATIVES,ambiguous,1800,원자재/부동산/기타 중 무엇인지 원본에 세부 구분 없음
overseas_etf,wu_inv_ast_type,Bond,asset_class,BOND,mapped,1084,
overseas_etf,wu_inv_ast_type,Mixed Assets,asset_class,MIXED,mapped,138,
overseas_etf,wu_inv_ast_type,Commodity,asset_class,COMMODITY,mapped,107,
overseas_etf,wu_inv_ast_type,Money Market,asset_class,MONEY_MARKET,mapped,9,
fund,or_attr_desc,주식형,asset_class,EQUITY,mapped,36338,
fund,or_attr_desc,재간접,asset_class,FUND_OF_FUNDS,ambiguous,30243,재투자 대상 펀드의 실제 자산군 불명
fund,or_attr_desc,채권혼합,asset_class,MIXED,mapped,8964,채권 비중 높은 혼합형
fund,or_attr_desc,채권형,asset_class,BOND,mapped,8344,
fund,or_attr_desc,06,asset_class,OTHER,unmapped,5436,"정의되지 않은 코드. PROJECT_GUIDE도 파생형 후보로만 언급, 확정 아님"
fund,or_attr_desc,주식혼합,asset_class,MIXED,mapped,2782,주식 비중 높은 혼합형
fund,or_attr_desc,MMF,asset_class,MONEY_MARKET,mapped,1532,
fund,or_attr_desc,혼합자산,asset_class,MIXED,mapped,1424,
fund,or_attr_desc,특별자산,asset_class,ALTERNATIVES,mapped,412,
fund,or_attr_desc,임대형,asset_class,REAL_ESTATE,mapped,69,
fund,or_attr_desc,대출형,asset_class,ALTERNATIVES,ambiguous,9,"사모대출형 성격, 대체투자로 분류"
